Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KMID
Folio Number:  9A1551300H03
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,989728.94673,0.00000,0.00000,0.00000,1.71782,1.71782
03/24/2020,973014.35725,0.00000,0.00000,0.00000,9.95441,9.95441
03/23/2020,884925.28081,0.00090,0.00000,0.00000,-3.17319,-3.17319
03/20/2020,913925.85015,-0.00007,0.00000,0.00000,-5.57266,-5.57266
03/19/2020,967271.67699,0.00000,589.76167,0.00000,3.39477,3.39477
03/18/2020,935493.78544,-0.00012,589.76167,0.00000,-7.18098,-7.18098
03/17/2020,1007633.43006,0.00000,870.62894,0.00000,4.43170,4.43170
03/16/2020,964836.23021,-0.00015,870.62894,0.00000,-12.53089,-12.53089
03/13/2020,1102518.43602,0.00000,1536.24757,0.00000,8.05999,8.05999
03/12/2020,1020169.04711,0.00000,1536.24757,0.00000,-9.46936,-9.46936
03/11/2020,1127037.75036,0.00000,1536.24757,0.00000,-4.96577,-4.96577
03/10/2020,1186008.55186,-0.00332,1536.24757,0.00000,3.85816,3.85816
03/09/2020,1141893.17310,0.00000,1536.24757,0.00000,-7.83662,-7.83662
03/06/2020,1239118.54043,-0.00016,1536.24757,0.00000,-1.40008,-1.40008
03/05/2020,1256701.01658,0.00000,1570.57608,0.00000,-2.88979,-2.88979
03/04/2020,1294144.46163,0.00000,1570.57608,0.00000,3.71551,3.71551
03/03/2020,1248316.42283,0.00000,980.81441,0.00000,-1.81779,-1.81779
03/02/2020,1271446.47603,0.00000,980.81441,0.00000,4.33489,4.33489
02/28/2020,1218579.89346,-0.00019,980.81441,0.00000,-2.37594,-2.37594
02/27/2020,1248118.57004,0.00000,1123.43317,0.00000,-2.98572,-2.98572
02/26/2020,1287003.05083,-0.00012,685.76401,0.00000,-1.06961,-1.06961
02/25/2020,1300925.26794,0.00000,685.76401,0.00000,-2.90190,-2.90190
02/24/2020,1339825.52110,0.00000,685.76401,0.00000,-2.70684,-2.70684
02/21/2020,1377426.33297,-0.00019,379.89859,0.00000,-1.13227,-1.13227
