Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KBIG
Folio Number:  9A1551300H04
Download Date:  03/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/28/2019,1234946.12891,0.00000,0.00000,0.00000,-0.01879,-0.01879
02/27/2019,1235178.22234,0.76984,0.00000,0.00000,0.05272,0.05272
02/26/2019,1234526.61300,0.00000,0.00000,0.00000,-0.37785,-0.37785
02/25/2019,1239208.90339,0.00000,0.00000,0.00000,0.22557,0.22557
02/22/2019,1236419.97211,0.00000,0.00000,0.00000,0.28084,0.28084
02/21/2019,1232957.32014,0.00000,0.00000,0.00000,-0.68809,-0.68809
02/20/2019,1241499.91826,-0.59845,0.00000,0.00000,-0.32206,-0.32206
02/19/2019,1245511.83015,0.00000,0.00000,0.00000,0.16558,0.16558
02/15/2019,1243452.90485,0.00001,0.00000,0.00000,1.41540,1.41540
02/14/2019,1225526.64510,0.60081,572.06773,0.00000,-0.38482,-0.38482
02/13/2019,1230262.60206,0.00000,572.06773,0.00000,0.37203,0.37203
02/12/2019,1225700.52232,0.00000,572.06773,0.00000,1.45954,1.45954
02/11/2019,1208060.00936,-0.00191,572.06773,0.00000,0.10057,0.10057
02/08/2019,1206486.24493,0.00000,931.53202,0.00000,0.15669,0.15669
02/07/2019,1204597.30436,0.00000,931.53202,0.00000,-0.42920,-0.42920
02/06/2019,1209793.74439,206.57377,931.53202,0.00000,-0.06837,-0.06837
02/05/2019,1210415.39149,-206.57395,931.53202,0.00000,-0.13133,-0.13133
02/04/2019,1212008.51531,0.00114,1138.10597,0.00000,0.17177,0.17177
02/01/2019,1209487.43057,-0.00016,1578.95085,0.00000,0.12933,0.12933
01/31/2019,1207923.15586,0.00031,1578.95085,0.00000,-0.01119,-0.01119
01/30/2019,1208444.54393,-0.00215,1192.88134,0.00000,0.51440,0.51440
01/29/2019,1202613.42506,0.00000,833.41705,0.00000,0.01368,0.01368
01/28/2019,1202448.84717,0.00000,833.41705,0.00000,-0.46248,-0.46248
