Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KBIG
Folio Number:  9A1551300H04
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,1079589.08471,0.00000,0.00000,0.00000,2.40826,2.40826
03/24/2020,1054201.13787,-0.00054,0.00000,0.00000,8.95098,8.95098
03/23/2020,967592.17230,0.00000,0.00000,0.00000,-1.17912,-1.17912
03/20/2020,979137.40824,0.00000,0.00000,0.00000,-5.31838,-5.31838
03/19/2020,1034136.67691,0.00000,0.00000,0.00000,0.95577,0.95577
03/18/2020,1024346.24702,0.00000,0.00000,0.00000,-6.14719,-6.14719
03/17/2020,1091439.04511,0.00000,0.00000,0.00000,4.86204,4.86204
03/16/2020,1040833.29142,0.00000,0.00000,0.00000,-11.93260,-11.93260
03/13/2020,1181859.86811,-0.00125,0.00000,0.00000,7.54387,7.54387
03/12/2020,1098462.87903,0.00000,493.19094,0.00000,-8.69319,-8.69319
03/11/2020,1203092.86329,0.00000,493.19094,0.00000,-4.34511,-4.34511
03/10/2020,1257765.65026,0.00061,493.19094,0.00000,3.95884,3.95884
03/09/2020,1209487.19643,0.00000,856.11641,0.00000,-6.59606,-6.59606
03/06/2020,1294959.95037,0.00000,856.11641,0.00000,-1.96389,-1.96389
03/05/2020,1320918.14897,0.00000,856.11641,0.00000,-3.33242,-3.33242
03/04/2020,1366483.59832,0.00000,856.11641,0.00000,4.70415,4.70415
03/03/2020,1305051.73830,0.00000,856.11641,0.00000,-2.76611,-2.76611
03/02/2020,1342202.16648,0.00000,856.11641,0.00000,4.47673,4.47673
02/28/2020,1284653.37041,-0.00008,856.11641,0.00000,-0.89120,-0.89120
02/27/2020,1296014.10126,0.00000,1054.88744,0.00000,-3.34874,-3.34874
02/26/2020,1340954.52881,0.00000,1054.88744,0.00000,-0.98703,-0.98703
02/25/2020,1354332.67781,0.00000,1054.88744,0.00000,-3.10708,-3.10708
02/24/2020,1397796.14553,0.00000,1054.88744,0.00000,-2.95715,-2.95715
02/21/2020,1440422.81841,0.00000,1054.88744,0.00000,-0.97403,-0.97403
