Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KSMAL
Folio Number:  9A1551300H05
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,1024111.33567,0.00000,0.00000,0.00000,2.59294,2.59294
02/14/2019,998227.90850,0.00051,0.00000,0.00000,0.41155,0.41155
02/13/2019,993979.06791,446.53489,157.49351,0.00000,0.38891,0.38891
02/12/2019,989682.06374,0.00124,157.49351,0.00000,1.57964,1.57964
02/11/2019,974289.33138,0.00000,157.49351,0.00000,0.78225,0.78225
02/08/2019,966725.85124,0.00000,157.49351,0.00000,0.36086,0.36086
02/07/2019,963249.29128,0.00000,157.49351,0.00000,-1.81003,-1.81003
02/06/2019,981008.69193,0.00028,157.49351,0.00000,0.40452,0.40452
02/05/2019,977055.68201,0.00000,157.49351,0.00000,0.32323,0.32323
02/04/2019,973907.24975,0.00000,157.49351,0.00000,0.83918,0.83918
02/01/2019,965801.08309,-446.53829,157.49351,0.00000,0.26565,0.26565
01/31/2019,963791.58845,0.00000,53.68508,0.00000,0.62688,0.62688
01/30/2019,957787.11882,0.00000,53.68508,0.00000,0.07287,0.07287
01/29/2019,957089.66637,0.00000,53.68508,0.00000,-0.29214,-0.29214
01/28/2019,959894.03936,0.00000,53.68508,0.00000,-0.89363,-0.89363
01/25/2019,968549.81753,0.00015,53.68508,0.00000,0.30446,0.30446
01/24/2019,965549.21888,0.00000,114.25645,0.00000,0.51092,0.51092
01/23/2019,960640.53810,0.00000,114.25645,0.00000,-0.28949,-0.28949
01/22/2019,963429.91819,0.00025,114.25645,0.00000,-1.55680,-1.55680
01/18/2019,978667.63428,-0.00009,114.25645,0.00000,0.88455,0.88455
01/17/2019,970085.75756,0.00009,114.25645,0.00000,0.37885,0.37885
01/16/2019,966155.46389,0.00000,382.83084,0.00000,0.55385,0.55385
01/15/2019,960831.76997,0.00010,382.83084,0.00000,0.42753,0.42753
