Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KSMAL
Folio Number:  9A1551300H05
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,713825.12813,0.00000,0.00000,0.00000,-1.28671,-1.28671
03/24/2020,723129.67829,0.00000,0.00000,0.00000,8.92569,8.92569
03/23/2020,663874.33015,0.00000,0.00000,0.00000,2.18588,2.18588
03/20/2020,649673.22855,-0.00006,0.00000,0.00000,-5.92283,-5.92283
03/19/2020,690177.36357,0.00000,397.44736,0.00000,11.42999,11.42999
03/18/2020,619341.26117,0.00000,397.44736,0.00000,-10.73311,-10.73311
03/17/2020,693856.27409,0.00000,397.44736,0.00000,4.70207,4.70207
03/16/2020,662677.98064,0.00000,397.44736,0.00000,-14.21614,-14.21614
03/13/2020,772563.11659,0.00014,397.44736,0.00000,7.35608,7.35608
03/12/2020,719469.74275,0.00000,527.29046,0.00000,-12.78816,-12.78816
03/11/2020,825045.27581,0.00000,527.29046,0.00000,-4.63264,-4.63264
03/10/2020,865148.92864,0.00007,527.29046,0.00000,0.83685,0.83685
03/09/2020,857646.57957,0.00000,845.37768,0.00000,-8.38694,-8.38694
03/06/2020,936239.31320,0.00000,845.37768,0.00000,0.10321,0.10321
03/05/2020,935670.61091,-0.00140,447.93032,0.00000,-3.85197,-3.85197
03/04/2020,973153.39744,0.00000,468.79350,0.00000,2.53581,2.53581
03/03/2020,949074.77261,0.00000,468.79350,0.00000,-2.52892,-2.52892
03/02/2020,973710.97658,0.00002,468.79350,0.00000,2.97384,2.97384
02/28/2020,945249.95235,0.00000,795.88514,0.00000,-3.19043,-3.19043
02/27/2020,976427.60368,0.00000,795.88514,0.00000,-3.74955,-3.74955
02/26/2020,1014626.36239,-0.00012,666.04204,0.00000,-1.02357,-1.02357
02/25/2020,1025126.02136,0.00000,666.04204,0.00000,-2.94256,-2.94256
02/24/2020,1056225.65493,0.00000,666.04204,0.00000,-2.03591,-2.03591
02/21/2020,1078190.19413,-0.00007,666.04204,0.00000,-0.17743,-0.17743
