Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KDIV
Folio Number:  9A1551300H06
Download Date:  03/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/28/2019,1116773.21294,0.00000,0.00000,0.00000,-0.14231,-0.14231
02/27/2019,1118364.74820,0.00000,0.00000,0.00000,0.01753,0.01753
02/26/2019,1118168.71103,0.00056,0.00000,0.00000,-0.47218,-0.47218
02/25/2019,1123473.52391,0.00000,0.00000,0.00000,0.35227,0.35227
02/22/2019,1119529.78114,0.00000,0.00000,0.00000,0.40087,0.40087
02/21/2019,1115059.89329,0.00000,0.00000,0.00000,-0.40607,-0.40607
02/20/2019,1119606.24114,0.00000,0.00000,0.00000,0.81580,0.81580
02/19/2019,1110546.42448,2235.90567,0.00000,0.00000,0.76963,0.76963
02/15/2019,1099837.24812,-0.00035,0.00000,0.00000,0.85292,0.85292
02/14/2019,1089174.71793,-0.00008,1361.13404,0.00000,-0.06232,-0.06232
02/13/2019,1089081.41761,-0.00005,2134.51339,0.00000,0.62786,0.62786
02/12/2019,1082272.90777,-0.00068,2134.51339,0.00000,1.24156,1.24156
02/11/2019,1068974.42137,0.00269,2134.51339,0.00000,-0.28784,-0.28784
02/08/2019,1071744.95880,0.00000,2455.97943,0.00000,0.09902,0.09902
02/07/2019,1070682.36253,0.00000,2455.97943,0.00000,-1.17782,-1.17782
02/06/2019,1083472.62895,-0.00153,2455.97943,0.00000,0.16519,0.16519
02/05/2019,1081681.78038,0.00000,2455.97943,0.00000,0.18483,0.18483
02/04/2019,1079681.70234,0.00000,2455.97943,0.00000,0.25766,0.25766
02/01/2019,1076900.65215,-0.00297,2455.97943,0.00000,0.27942,0.27942
01/31/2019,1073019.40505,0.00059,3329.68528,0.00000,0.55240,0.55240
01/30/2019,1068204.11293,0.00136,2231.87235,0.00000,-0.50012,-0.50012
01/29/2019,1073905.93934,-0.00168,1910.40631,0.00000,-0.25453,-0.25453
01/28/2019,1076651.20689,0.00000,1910.40631,0.00000,-0.29655,-0.29655
