Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KDIV
Folio Number:  9A1551300H06
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,876125.92781,0.00000,0.00000,0.00000,1.09070,1.09070
03/24/2020,866673.09963,0.00000,0.00000,0.00000,7.68874,7.68874
03/23/2020,804794.52083,0.00000,0.00000,0.00000,-2.33252,-2.33252
03/20/2020,824014.83897,-0.00006,0.00000,0.00000,-4.15092,-4.15092
03/19/2020,859156.62854,-0.00004,543.67707,0.00000,0.99135,0.99135
03/18/2020,850274.01901,0.00000,987.28122,0.00000,-8.22906,-8.22906
03/17/2020,926606.25886,0.00000,987.28122,0.00000,7.40566,7.40566
03/16/2020,862648.31290,0.00000,987.28122,0.00000,-10.92280,-10.92280
03/13/2020,968548.76984,0.00000,987.28122,0.00000,7.57521,7.57521
03/12/2020,899475.83967,0.00000,1787.58166,0.00000,-10.28353,-10.28353
03/11/2020,1002780.95432,0.00000,1787.58166,0.00000,-5.03726,-5.03726
03/10/2020,1056067.86021,0.00373,1787.58166,0.00000,2.68126,2.68126
03/09/2020,1027200.93238,0.00000,3031.34416,0.00000,-7.20090,-7.20090
03/06/2020,1107143.54161,-0.00007,3031.34416,0.00000,-0.61083,-0.61083
03/05/2020,1113030.53955,0.00000,3967.35328,0.00000,-2.85665,-2.85665
03/04/2020,1145877.55817,0.00013,3967.35328,0.00000,3.44625,3.44625
03/03/2020,1107619.24197,0.00000,3919.29771,0.00000,-2.29834,-2.29834
03/02/2020,1133767.14752,0.00011,3919.29771,0.00000,3.90831,3.90831
02/28/2020,1090601.31855,0.00000,4293.20383,0.00000,-2.25343,-2.25343
02/27/2020,1115842.82160,0.00072,4293.20383,0.00000,-2.82217,-2.82217
02/26/2020,1148817.76016,0.00032,3848.42808,0.00000,-0.73748,-0.73748
02/25/2020,1157760.17831,0.00000,3469.85765,0.00000,-3.12918,-3.12918
02/24/2020,1195270.88397,0.00000,3469.85765,0.00000,-2.59258,-2.59258
02/21/2020,1227176.40550,0.00002,3469.85765,0.00000,-0.26498,-0.26498
