Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KEYE
Folio Number:  9A1551300H07
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1034721.96000,0.00000,0.00000,0.00000,0.55616,0.55616
06/07/2019,1028999.05892,0.00000,0.00000,0.00000,0.60770,0.60770
06/06/2019,1022382.33230,0.00000,401.30881,0.00000,0.17304,0.17304
06/05/2019,1020615.58346,0.00000,401.30881,0.00000,0.63574,0.63574
06/04/2019,1014165.54362,0.00000,401.30881,0.00000,2.35517,2.35517
06/03/2019,990820.62558,0.00007,401.30881,0.00000,-0.25422,-0.25422
05/31/2019,993227.75183,0.00000,520.49008,0.00000,-1.37276,-1.37276
05/30/2019,1007059.45012,0.00000,520.49008,0.00000,0.18762,0.18762
05/29/2019,1005172.58384,0.00000,520.49008,0.00000,-0.38073,-0.38073
05/28/2019,1009016.19449,0.00000,520.49008,0.00000,-0.14169,-0.14169
05/24/2019,1010448.61299,0.00000,520.49008,0.00000,0.68500,0.68500
05/23/2019,1003971.93500,0.00000,119.18127,0.00000,-1.73252,-1.73252
05/22/2019,1021674.69254,0.00000,119.18127,0.00000,-0.33725,-0.33725
05/21/2019,1025132.31899,0.00000,119.18127,0.00000,1.02659,1.02659
05/20/2019,1014714.12852,0.00002,119.18127,0.00000,-0.51884,-0.51884
05/17/2019,1019769.48975,0.00000,356.62910,0.00000,-0.85507,-0.85507
05/16/2019,1028567.47192,0.00000,356.62910,0.00000,0.99691,0.99691
05/15/2019,1018411.26788,605.60184,356.62910,0.00000,0.42324,0.42324
05/14/2019,1012604.90585,0.00000,1265.01629,0.00000,0.87663,0.87663
05/13/2019,1003913.42709,626.05471,1145.83502,0.00000,-3.30315,-3.30315
05/10/2019,1037609.31719,0.00000,1145.83502,0.00000,-0.02557,-0.02557
05/09/2019,1037875.03727,0.00000,1145.83502,0.00000,-0.00125,-0.00125
05/08/2019,1037887.98004,0.00000,1145.83502,0.00000,-0.20049,-0.20049
05/07/2019,1039975.37589,0.00000,1145.83502,0.00000,-1.60836,-1.60836
05/06/2019,1056994.04579,0.00000,1145.83502,0.00000,0.10606,0.10606
05/03/2019,1055872.93472,0.00000,1145.83502,0.00000,0.94365,0.94365
05/02/2019,1046229.05220,0.00810,908.38719,0.00000,0.12093,0.12093
05/01/2019,1044964.27849,-1231.65593,908.38719,0.00000,-0.59666,-0.59666
04/30/2019,1052425.06501,0.00007,960.71720,0.00000,-0.87427,-0.87427
04/29/2019,1061452.48415,0.00000,1223.95582,0.00000,0.26320,0.26320
04/26/2019,1058662.83990,0.00000,1223.95582,0.00000,1.34733,1.34733
04/25/2019,1045106.52832,0.00000,689.94713,0.00000,0.14423,0.14423
04/24/2019,1043600.30649,-0.00673,689.94713,0.00000,-0.05502,-0.05502
04/23/2019,1044175.19546,0.00000,689.94713,0.00000,1.40519,1.40519
04/22/2019,1029696.33751,0.00000,689.94713,0.00000,0.11137,0.11137
04/18/2019,1028550.04539,-0.00124,689.94713,0.00000,-0.16745,-0.16745
04/17/2019,1030276.35619,0.00000,689.94713,0.00000,-0.83681,-0.83681
04/16/2019,1038976.38154,0.00000,689.94713,0.00000,-0.63994,-0.63994
04/15/2019,1045724.85074,0.00000,637.61712,0.00000,-0.24968,-0.24968
04/12/2019,1048343.96226,0.00000,637.61712,0.00000,0.27878,0.27878
04/11/2019,1045690.96936,-0.00022,374.37850,0.00000,0.29201,0.29201
04/10/2019,1042064.15769,-0.00182,955.49700,0.00000,0.82731,0.82731
04/09/2019,1033427.39884,0.00000,1034.07375,0.00000,-0.40882,-0.40882
04/08/2019,1037673.80517,0.00000,1034.07375,0.00000,-0.14797,-0.14797
04/05/2019,1039213.01337,0.00000,1034.07375,0.00000,0.85177,0.85177
04/04/2019,1030427.34463,0.00000,1034.07375,0.00000,0.01198,0.01198
04/03/2019,1030303.77851,-0.00191,1034.07375,0.00000,0.38907,0.38907
04/02/2019,1026306.65929,0.00000,1034.07375,0.00000,-0.49803,-0.49803
04/01/2019,1031448.76740,0.00000,1034.07375,0.00000,1.22192,1.22192
03/29/2019,1018984.98924,-0.00021,1034.07375,0.00000,0.64069,0.64069
03/28/2019,1012376.53851,-0.00079,1148.97916,0.00000,0.94620,0.94620
03/27/2019,1002588.53178,0.00000,1436.93985,0.00000,-0.41880,-0.41880
03/26/2019,1006811.09103,0.00000,1436.93985,0.00000,0.58898,0.58898
03/25/2019,1000907.47180,-0.00007,1436.93985,0.00000,0.19292,0.19292
03/22/2019,999591.67125,-0.00002,822.78090,0.00000,-2.18223,-2.18223
03/21/2019,1021766.16499,0.00000,966.64347,0.00000,1.41728,1.41728
03/20/2019,1007473.73593,0.00000,966.64347,0.00000,-0.47326,-0.47326
03/19/2019,1012268.95605,0.00000,966.64347,0.00000,0.15890,0.15890
03/18/2019,1010999.40370,0.00000,628.72559,0.00000,0.48364,0.48364
03/15/2019,1006130.29424,0.00000,628.72559,0.00000,0.00481,0.00481
03/14/2019,1006081.89501,0.00049,628.72559,0.00000,0.15999,0.15999
03/13/2019,1004391.47398,0.00000,711.03419,0.00000,0.46287,0.46287
03/12/2019,1000048.54734,-0.00348,423.07350,0.00000,-0.44863,-0.44863
03/11/2019,1004557.18865,0.00079,423.07350,0.00000,2.06283,2.06283
03/08/2019,984148.05357,0.00000,520.20388,0.00000,-0.25873,-0.25873
