Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KEYE
Folio Number:  9A1551300H07
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,896203.97402,0.00000,0.00000,0.00000,1.80071,1.80071
03/24/2020,880351.36718,0.00000,0.00000,0.00000,8.89036,8.89036
03/23/2020,808475.04347,0.00000,0.00000,0.00000,-0.89304,-0.89304
03/20/2020,815760.07283,0.00000,0.00000,0.00000,-4.64993,-4.64993
03/19/2020,855542.20913,0.00000,0.00000,0.00000,1.72097,1.72097
03/18/2020,841067.72573,0.00000,0.00000,0.00000,-7.01339,-7.01339
03/17/2020,904504.10567,0.00000,0.00000,0.00000,5.08913,5.08913
03/16/2020,860701.89709,0.00000,0.00000,0.00000,-11.69094,-11.69094
03/13/2020,974647.38059,0.00000,0.00000,0.00000,7.88323,7.88323
03/12/2020,903428.05917,0.00053,0.00000,0.00000,-8.87758,-8.87758
03/11/2020,991272.50857,0.00000,171.79558,0.00000,-4.99714,-4.99714
03/10/2020,1043422.34485,0.00162,171.79558,0.00000,3.51982,3.51982
03/09/2020,1007589.39705,0.00000,521.11446,0.00000,-7.15400,-7.15400
03/06/2020,1085266.64091,-0.00005,521.11446,0.00000,-2.33851,-2.33851
03/05/2020,1110849.75277,0.00000,937.24274,0.00000,-3.01081,-3.01081
03/04/2020,1145362.61068,0.00000,937.24274,0.00000,4.34561,4.34561
03/03/2020,1097623.43567,0.00000,937.24274,0.00000,-2.72043,-2.72043
03/02/2020,1128344.76848,0.00000,937.24274,0.00000,4.40369,4.40369
02/28/2020,1080712.32146,0.00000,937.24274,0.00000,-0.99407,-0.99407
02/27/2020,1091572.58411,0.00000,937.24274,0.00000,-3.29972,-3.29972
02/26/2020,1129268.65821,0.00000,521.11446,0.00000,-1.15813,-1.15813
02/25/2020,1142506.39366,0.00000,521.11446,0.00000,-3.02813,-3.02813
02/24/2020,1178199.58292,0.00000,521.11446,0.00000,-2.83000,-2.83000
02/21/2020,1212528.94590,0.00000,521.11446,0.00000,-1.17412,-1.17412
