Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIDI
Folio Number:  9A1551300H08
Download Date:  12/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/29/2019,5892698.81452,-0.00001,0.00000,0.00000,-0.79520,-0.79520
11/27/2019,5938979.44515,0.00000,953.74651,0.00000,0.71120,0.71120
11/26/2019,5897033.02011,0.00000,953.74651,0.00000,1.16909,1.16909
11/25/2019,5828876.98145,0.00000,953.74651,0.00000,0.92669,0.92669
11/22/2019,5775348.77386,0.00000,953.74651,0.00000,0.35650,0.35650
11/21/2019,5754829.24595,0.00000,953.74651,0.00000,-0.17053,-0.17053
11/20/2019,5764661.34802,0.00000,953.74651,0.00000,-0.60517,-0.60517
11/19/2019,5799765.47788,0.00000,953.74651,0.00000,-0.57502,-0.57502
11/18/2019,5833313.55200,0.00000,953.74651,0.00000,0.25221,0.25221
11/15/2019,5818636.19171,0.00000,953.74651,0.00000,0.33655,0.33655
11/14/2019,5799116.06991,0.00000,953.74651,0.00000,0.50113,0.50113
11/13/2019,5770195.37054,0.00000,953.74651,0.00000,-0.00996,-0.00996
11/12/2019,5770769.97054,0.00000,953.74651,0.00000,-0.28506,-0.28506
11/11/2019,5788223.48442,0.00000,0.00000,0.00000,0.05619,0.05619
11/08/2019,5784972.95359,0.00000,0.00000,0.00000,0.20867,0.20867
11/07/2019,5772926.75164,0.00000,0.00000,0.00000,-0.04228,-0.04228
11/06/2019,5775368.78372,-0.00486,0.00000,0.00000,0.20835,0.20835
11/05/2019,5763361.04088,0.00000,0.00000,0.00000,0.15286,0.15286
11/04/2019,5754564.63359,0.00000,0.00000,0.00000,-0.01091,-0.01091
11/01/2019,5755192.72265,0.00000,0.00000,0.00000,0.96364,0.96364
10/31/2019,5700262.97824,0.00000,0.00000,0.00000,-0.63129,-0.63129
10/30/2019,5736476.85620,0.00000,0.00000,0.00000,0.72959,0.72959
10/29/2019,5694927.36165,0.00000,0.00000,0.00000,-0.16289,-0.16289
10/28/2019,5704219.02871,0.00000,0.00000,0.00000,0.04015,0.04015
10/25/2019,5701929.73837,0.00000,0.00000,0.00000,0.34595,0.34595
10/24/2019,5682271.68263,0.00000,0.00000,0.00000,1.17483,1.17483
10/23/2019,5616289.68003,0.00012,0.00000,0.00000,-0.05331,-0.05331
10/22/2019,5618355.08350,0.00000,930.30923,0.00000,-0.97488,-0.97488
10/21/2019,5673675.95282,0.00000,930.30923,0.00000,0.19372,0.19372
10/18/2019,5662704.46447,0.00000,930.30923,0.00000,0.22753,0.22753
10/17/2019,5649847.30790,0.00000,930.30923,0.00000,0.41702,0.41702
10/16/2019,5626380.35709,0.00000,930.30923,0.00000,0.68139,0.68139
10/15/2019,5588295.93511,0.00000,930.30923,0.00000,0.73379,0.73379
10/14/2019,5547581.44471,0.00000,930.30923,0.00000,-0.12602,-0.12602
10/11/2019,5554582.38025,-0.00026,930.30923,0.00000,1.53589,1.53589
10/10/2019,5468971.10736,0.00008,2505.64202,0.00000,0.79999,0.79999
10/09/2019,5423609.95145,0.00000,4442.76321,0.00000,0.97411,0.97411
10/08/2019,5371245.00207,0.00000,4442.76321,0.00000,-0.98999,-0.98999
10/07/2019,5425926.42954,0.00000,3512.45398,0.00000,-0.53990,-0.53990
10/04/2019,5455398.82161,0.00000,3512.45398,0.00000,0.95326,0.95326
10/03/2019,5403852.73972,0.00000,3512.45398,0.00000,0.59898,0.59898
10/02/2019,5371656.74481,0.00000,3512.45398,0.00000,-1.74855,-1.74855
10/01/2019,5467317.17329,0.00000,3512.45398,0.00000,-0.86777,-0.86777
09/30/2019,5515206.90707,-0.00108,3512.45398,0.00000,0.82104,0.82104
09/27/2019,5467343.81989,0.00008,6433.40689,0.00000,-0.04049,-0.04049
09/26/2019,5469201.89546,0.00000,6792.41755,0.00000,-0.28815,-0.28815
09/25/2019,5485026.70668,0.00000,6792.41755,0.00000,0.17319,0.17319
09/24/2019,5475531.76961,0.00000,6792.41755,0.00000,-0.91509,-0.91509
09/23/2019,5526163.45797,0.00000,6792.41755,0.00000,0.27595,0.27595
09/20/2019,5510937.50085,0.00000,6792.41755,0.00000,-0.63148,-0.63148
09/19/2019,5546002.11890,-0.00051,6792.41755,0.00000,0.01596,0.01596
09/18/2019,5545039.72175,0.00000,6868.70141,0.00000,-0.20833,-0.20833
09/17/2019,5558567.34928,-0.00058,4931.58022,0.00000,0.94843,0.94843
09/16/2019,5504020.76594,0.00072,7208.22209,0.00000,-0.96366,-0.96366
09/13/2019,5555704.59528,-0.00597,9150.94637,0.00000,-0.26245,-0.26245
09/12/2019,5571799.24050,0.00000,7699.56057,0.00000,-0.95380,-0.95380
09/11/2019,5626152.36176,0.00000,7076.16320,0.00000,0.40120,0.40120
09/10/2019,5604191.20910,0.00001,6527.15071,0.00000,-0.43117,-0.43117
09/09/2019,5626576.01424,0.00000,8438.59340,0.00000,0.28057,0.28057
09/06/2019,5610809.96352,0.00000,8438.59340,0.00000,-0.07277,-0.07277
09/05/2019,5614902.07079,0.00000,8438.59340,0.00000,1.62162,1.62162
09/04/2019,5525167.78031,0.00000,8438.59340,0.00000,1.52899,1.52899
09/03/2019,5443485.14553,0.00724,6786.97675,0.00000,-1.08787,-1.08787
08/30/2019,5503429.38580,0.00000,6786.97675,0.00000,-1.45462,-1.45462
08/29/2019,5588114.52630,0.00786,3437.59126,0.00000,0.87148,0.87148
