Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIDI
Folio Number:  9A1551300H08
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,4472929.63701,0.00000,0.00000,0.00000,3.28999,3.28999
03/24/2020,4330457.93568,0.00000,0.00000,0.00000,12.08710,12.08710
03/23/2020,3863475.65628,0.00000,0.00000,0.00000,-0.55625,-0.55625
03/20/2020,3885086.61058,0.00004,0.00000,0.00000,-3.35789,-3.35789
03/19/2020,4019777.34453,0.00000,298.85767,0.00000,5.01306,5.01306
03/18/2020,3827868.99041,0.00006,298.85767,0.00000,-8.06465,-8.06465
03/17/2020,4162371.84960,0.00000,1606.20687,0.00000,2.57741,2.57741
03/16/2020,4057745.79275,-0.00041,1606.20687,0.00000,-15.18858,-15.18858
03/13/2020,4781243.40156,0.00000,5083.61664,0.00000,5.56813,5.56813
03/12/2020,4528791.54254,0.00000,5083.61664,0.00000,-10.38002,-10.38002
03/11/2020,5053916.96644,0.00000,5083.61664,0.00000,-6.13886,-6.13886
03/10/2020,5384793.75642,0.00029,5083.61664,0.00000,4.71334,4.71334
03/09/2020,5141348.37997,0.00915,5920.50920,0.00000,-5.96255,-5.96255
03/06/2020,5467716.88456,0.00000,5920.50920,0.00000,-1.29388,-1.29388
03/05/2020,5540774.91664,-0.00002,4613.16000,0.00000,-3.98170,-3.98170
03/04/2020,5770109.27801,0.00000,5235.96045,0.00000,3.06938,3.06938
03/03/2020,5598120.82678,0.00000,5235.96045,0.00000,-2.03093,-2.03093
03/02/2020,5714279.98768,0.00000,5235.96045,0.00000,3.29690,3.29690
02/28/2020,5531731.63719,0.00000,5235.96045,0.00000,-1.57127,-1.57127
02/27/2020,5623598.44708,0.00000,1758.55068,0.00000,-3.33162,-3.33162
02/26/2020,5817473.05291,0.00000,1758.55068,0.00000,-1.02501,-1.02501
02/25/2020,5877738.46024,0.00000,1758.55068,0.00000,-2.53405,-2.53405
02/24/2020,6030601.38161,0.00004,1758.55068,0.00000,-2.92102,-2.92102
02/21/2020,6211379.98110,-0.00010,2488.43445,0.00000,-0.94195,-0.94195
