Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_MOM
Folio Number:  9A1551300H09
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,1163511.11395,0.00000,0.00000,0.00000,-1.35613,-1.35613
08/01/2019,1179506.75446,0.00000,0.00000,0.00000,-0.79633,-0.79633
07/31/2019,1188974.95005,-340.22110,0.00000,0.00000,-0.98294,-0.98294
07/30/2019,1200779.56169,340.22165,340.22110,0.00000,0.23195,0.23195
07/29/2019,1197660.18439,0.00000,340.22110,0.00000,-0.59308,-0.59308
07/26/2019,1204807.67046,0.00000,340.22110,0.00000,0.70210,0.70210
07/25/2019,1196405.37822,0.00000,340.22110,0.00000,0.13165,0.13165
07/24/2019,1194831.95317,0.00000,340.22110,0.00000,0.86136,0.86136
07/23/2019,1184625.10618,0.00000,340.22110,0.00000,0.37743,0.37743
07/22/2019,1180169.47638,0.00000,340.22110,0.00000,-0.00090,-0.00090
07/19/2019,1180180.13137,0.00000,340.22110,0.00000,-0.60821,-0.60821
07/18/2019,1187404.06895,0.00000,340.22110,0.00000,0.79804,0.79804
07/17/2019,1178340.69818,0.00000,0.00000,0.00000,-0.30896,-0.30896
07/16/2019,1181992.54478,0.00000,0.00000,0.00000,-0.29378,-0.29378
07/15/2019,1185475.25141,-0.00008,0.00000,0.00000,-0.25028,-0.25028
07/12/2019,1188393.20264,0.00000,56.44883,0.00000,0.26606,0.26606
07/11/2019,1185239.60442,0.00000,56.44883,0.00000,0.49883,0.49883
07/10/2019,1179356.37103,0.00000,56.44883,0.00000,0.72508,0.72508
07/09/2019,1170866.26383,0.00000,56.44883,0.00000,0.10227,0.10227
07/08/2019,1169669.96834,0.00000,56.44883,0.00000,-0.59210,-0.59210
07/05/2019,1176637.14646,0.00000,56.44883,0.00000,0.21407,0.21407
07/03/2019,1174123.57022,0.00000,56.44883,0.00000,0.73562,0.73562
07/02/2019,1165549.12621,0.00000,56.44883,0.00000,0.39358,0.39358
07/01/2019,1160979.46737,0.00000,56.44883,0.00000,0.23397,0.23397
06/28/2019,1158269.35655,0.00001,56.44883,0.00000,1.28053,1.28053
06/27/2019,1143254.95325,0.00000,425.66649,0.00000,0.77324,0.77324
06/26/2019,1134479.36378,0.00000,425.66649,0.00000,-0.26201,-0.26201
06/25/2019,1137460.72981,0.00000,425.66649,0.00000,-1.04135,-1.04135
06/24/2019,1149434.80374,0.00000,425.66649,0.00000,-0.66969,-0.66969
06/21/2019,1157187.26443,0.00000,425.66649,0.00000,-0.47618,-0.47618
06/20/2019,1162725.93473,-0.00231,425.66649,0.00000,0.06113,0.06113
06/19/2019,1161243.39994,0.00000,1197.60994,0.00000,1.47780,1.47780
06/18/2019,1144314.98306,0.00000,1197.60994,0.00000,0.54458,0.54458
06/17/2019,1138110.49279,0.00000,1197.60994,0.00000,0.38950,0.38950
06/14/2019,1133690.14301,0.00000,1197.60994,0.00000,-0.56478,-0.56478
06/13/2019,1140136.21634,0.00000,1197.60994,0.00000,0.43088,0.43088
06/12/2019,1135665.22051,0.00000,771.94345,0.00000,0.36429,0.36429
06/11/2019,1131540.37519,0.00000,771.94345,0.00000,-0.94210,-0.94210
06/10/2019,1142309.37082,0.00000,771.94345,0.00000,0.22722,0.22722
06/07/2019,1139717.97916,0.00000,771.94345,0.00000,1.19139,1.19139
06/06/2019,1126290.21939,0.00000,771.94345,0.00000,0.61549,0.61549
06/05/2019,1119395.66573,0.00000,771.94345,0.00000,1.25656,1.25656
06/04/2019,1106266.70240,0.00000,0.00000,0.00000,2.69133,2.69133
06/03/2019,1077273.66596,0.00000,0.00000,0.00000,-1.29247,-1.29247
05/31/2019,1091379.41726,0.00000,0.00000,0.00000,-0.54920,-0.54920
05/30/2019,1097406.42432,0.00000,0.00000,0.00000,0.54064,0.54064
05/29/2019,1091505.36053,0.00000,0.00000,0.00000,0.36673,0.36673
05/28/2019,1087517.11265,0.00000,0.00000,0.00000,-0.77695,-0.77695
05/24/2019,1096032.76788,0.00000,0.00000,0.00000,0.59155,0.59155
05/23/2019,1089587.33399,0.00000,0.00000,0.00000,-1.20450,-1.20450
05/22/2019,1102871.43566,0.00000,0.00000,0.00000,0.07434,0.07434
05/21/2019,1102052.20576,0.00000,0.00000,0.00000,0.68144,0.68144
05/20/2019,1094593.25876,0.00000,0.00000,0.00000,-0.37793,-0.37793
05/17/2019,1098745.75762,0.00000,0.00000,0.00000,-1.15180,-1.15180
05/16/2019,1111548.54622,0.00000,0.00000,0.00000,1.42379,1.42379
05/15/2019,1095944.63208,0.00000,0.00000,0.00000,0.13538,0.13538
05/14/2019,1094462.98776,0.00000,0.00000,0.00000,1.17598,1.17598
05/13/2019,1081741.96070,0.00000,0.00000,0.00000,-2.80776,-2.80776
05/10/2019,1112992.11240,0.00000,0.00000,0.00000,0.34689,0.34689
05/09/2019,1109144.60384,0.00000,0.00000,0.00000,-0.08108,-0.08108
05/08/2019,1110044.59689,0.00000,0.00000,0.00000,-0.14888,-0.14888
05/07/2019,1111699.73950,0.00025,0.00000,0.00000,-2.48454,-2.48454
05/06/2019,1139486.05780,0.00177,538.04929,0.00000,-0.12453,-0.12453
05/03/2019,1140907.51907,0.00000,538.04929,0.00000,0.77849,0.77849
05/02/2019,1132090.10124,0.00000,538.04929,0.00000,0.40719,0.40719
05/01/2019,1127496.88082,0.00000,538.04929,0.00000,-1.12764,-1.12764
