Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_MOM
Folio Number:  9A1551300H09
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,994848.27604,0.00000,0.00000,0.00000,1.08911,1.08911
03/24/2020,984130.04385,0.00000,0.00000,0.00000,8.44847,8.44847
03/23/2020,907463.24834,0.00000,0.00000,0.00000,0.46484,0.46484
03/20/2020,903264.55648,0.00000,0.00000,0.00000,-1.34231,-1.34231
03/19/2020,915554.14200,0.00000,0.00000,0.00000,0.86483,0.86483
03/18/2020,907704.03728,0.00000,0.00000,0.00000,-5.27069,-5.27069
03/17/2020,958208.22150,0.00000,0.00000,0.00000,3.27362,3.27362
03/16/2020,927834.41934,0.00000,0.00000,0.00000,-12.73573,-12.73573
03/13/2020,1063246.68429,0.00000,0.00000,0.00000,7.48549,7.48549
03/12/2020,989200.17006,0.00000,0.00000,0.00000,-7.29172,-7.29172
03/11/2020,1067003.02989,0.00036,0.00000,0.00000,-4.96371,-4.96371
03/10/2020,1122732.25126,0.00000,0.00000,0.00000,4.94600,4.94600
03/09/2020,1069819.04659,0.00000,0.00000,0.00000,-6.37778,-6.37778
03/06/2020,1142697.83730,0.00000,0.00000,0.00000,-3.29795,-3.29795
03/05/2020,1181668.73793,0.00000,0.00000,0.00000,-2.57737,-2.57737
03/04/2020,1212930.41711,0.00000,0.00000,0.00000,5.06568,5.06568
03/03/2020,1154449.73181,0.00088,0.00000,0.00000,-2.33679,-2.33679
03/02/2020,1181984.13162,0.00000,88.16886,0.00000,4.82305,4.82305
02/28/2020,1127595.36329,0.00000,88.16886,0.00000,-0.30196,-0.30196
02/27/2020,1131010.79250,0.00000,88.16886,0.00000,-3.52841,-3.52841
02/26/2020,1172380.29385,0.00079,88.16886,0.00000,-0.66266,-0.66266
02/25/2020,1180028.41928,0.00000,261.34375,0.00000,-2.92580,-2.92580
02/24/2020,1215602.17309,0.00000,261.34375,0.00000,-3.00759,-3.00759
02/21/2020,1253304.27181,0.00000,261.34375,0.00000,-1.27589,-1.27589
