Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIEN
Folio Number:  9A1551300H0A
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,6011909.71728,-0.00068,0.00000,0.00000,-5.74330,-5.74330
03/06/2020,6378230.87557,0.00038,0.00000,0.00000,-0.16263,-0.16263
03/05/2020,6387030.27959,0.00000,1590.39355,0.00000,-1.40956,-1.40956
03/04/2020,6478369.01843,0.00000,1590.39355,0.00000,5.01046,5.01046
03/03/2020,6168125.43757,0.00000,2649.94113,0.00000,-1.03158,-1.03158
03/02/2020,6232445.33534,0.00212,2649.94113,0.00000,4.76766,4.76766
02/28/2020,5942913.99530,-0.00027,8440.72219,0.00000,-3.61405,-3.61405
02/27/2020,6162740.32342,0.00000,11763.87529,0.00000,-4.51438,-4.51438
02/26/2020,6454659.40030,0.00038,11763.87529,0.00000,-1.13964,-1.13964
02/25/2020,6529203.10996,0.00000,11763.87529,0.00000,-2.21530,-2.21530
02/24/2020,6677387.74205,0.00000,11763.87529,0.00000,-1.24642,-1.24642
02/21/2020,6761815.07315,-0.00019,11763.87529,0.00000,-0.52763,-0.52763
02/20/2020,6796690.35467,-0.00155,12817.28527,0.00000,-0.20354,-0.20354
02/19/2020,6812168.93546,-0.00063,11226.89172,0.00000,-0.81916,-0.81916
02/18/2020,6868525.35248,0.00000,11226.89172,0.00000,0.47150,0.47150
02/14/2020,6836239.85840,6640.04220,11226.89172,0.00000,0.63570,0.63570
02/13/2020,6785868.94357,4853.02241,11724.02155,0.00000,1.13406,1.13406
02/12/2020,6709050.70820,0.00000,7491.96447,0.00000,0.28196,0.28196
02/11/2020,6690165.77862,0.00000,7491.96447,0.00000,0.20577,0.20577
02/10/2020,6676412.09688,0.00000,7491.96447,0.00000,0.24512,0.24512
02/07/2020,6660068.49242,0.00027,7491.96447,0.00000,-0.26257,-0.26257
02/06/2020,6678674.89626,0.00000,6438.55449,0.00000,-0.17463,-0.17463
02/05/2020,6695202.60804,0.00000,1605.42845,0.00000,0.67990,0.67990
02/04/2020,6649978.52069,0.00040,1605.42845,0.00000,-0.52515,-0.52515
02/03/2020,6685093.40943,-11493.06533,1605.42845,0.00000,0.48841,0.48841
01/31/2020,6664059.01781,-0.00110,1605.42845,0.00000,-0.86072,-0.86072
01/30/2020,6723535.12313,0.00000,0.00000,0.00000,0.64805,0.64805
01/29/2020,6680243.49055,0.00000,0.00000,0.00000,0.05640,0.05640
01/28/2020,6676477.82273,0.00000,0.00000,0.00000,0.49882,0.49882
01/27/2020,6643339.45079,0.00000,0.00000,0.00000,-0.63837,-0.63837
01/24/2020,6686020.89446,0.00000,0.00000,0.00000,0.01701,0.01701
01/23/2020,6684883.58810,0.00000,0.00000,0.00000,0.59937,0.59937
01/22/2020,6645055.00156,0.00000,0.00000,0.00000,0.04967,0.04967
01/21/2020,6641756.29305,-0.00016,0.00000,0.00000,0.07892,0.07892
01/17/2020,6636518.54803,0.00000,0.00000,0.00000,0.13748,0.13748
01/16/2020,6627407.29710,0.00000,0.00000,0.00000,0.89887,0.89887
01/15/2020,6568366.26596,0.00008,0.00000,0.00000,0.67638,0.67638
01/14/2020,6522485.47027,0.00000,1752.44317,0.00000,0.03089,0.03089
01/13/2020,6520470.82970,0.00000,1752.44317,0.00000,0.64123,0.64123
01/10/2020,6478914.63640,0.00004,1752.44317,0.00000,0.12326,0.12326
01/09/2020,6470213.42297,0.00000,2475.29166,0.00000,0.59598,0.59598
01/08/2020,6431865.97871,0.00000,2475.29166,0.00000,-0.37364,-0.37364
01/07/2020,6455997.14448,0.00000,2475.29166,0.00000,-0.24025,-0.24025
01/06/2020,6471550.96732,-0.00029,2475.29166,0.00000,-0.10415,-0.10415
01/03/2020,6477171.29425,0.00000,3604.71978,0.00000,0.28371,0.28371
01/02/2020,6458836.54958,-0.00027,3604.71978,0.00000,-0.95867,-0.95867
12/31/2019,6519134.45251,0.00022,5860.27050,0.00000,0.29311,0.29311
12/30/2019,6498388.84155,0.00000,7536.61313,0.00000,0.07243,0.07243
12/27/2019,6493679.74576,0.00000,7536.61313,0.00000,0.12563,0.12563
12/26/2019,6485522.62086,0.00000,7536.61313,0.00000,0.23613,0.23613
12/24/2019,6470226.75686,0.00000,7536.61313,0.00000,-0.04628,-0.04628
12/23/2019,6474978.52320,0.00000,5784.16996,0.00000,-0.92389,-0.92389
12/20/2019,6535411.99668,0.00030,5784.16996,0.00000,0.63866,0.63866
12/19/2019,6491872.46001,0.00000,7812.76369,0.00000,-0.17286,-0.17286
12/18/2019,6503850.36437,0.00000,7089.91520,0.00000,0.67441,0.67441
12/17/2019,6460234.28641,0.00000,7089.91520,0.00000,0.25746,0.25746
12/16/2019,6443625.99762,-0.00006,7089.91520,0.00000,1.59093,1.59093
12/13/2019,6337930.22893,-0.00004,11766.50697,0.00000,0.04338,0.04338
12/12/2019,6334967.19966,0.00000,11976.30715,0.00000,-0.39077,-0.39077
12/11/2019,6359866.18505,0.00000,11976.30715,0.00000,0.22066,0.22066
12/10/2019,6348092.49224,-0.00033,9720.75643,0.00000,0.30818,0.30818
12/09/2019,6326718.44886,-0.00001,11561.77093,0.00000,-0.20128,-0.20128
12/06/2019,6338167.15464,0.00000,12896.26546,0.00000,0.12823,0.12823
