Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIEN
Folio Number:  9A1551300H0A
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,5052131.14057,0.00000,0.00000,0.00000,1.41839,1.41839
03/24/2020,4981474.53768,0.00000,0.00000,0.00000,9.13120,9.13120
03/23/2020,4564665.71137,0.00000,0.00000,0.00000,-5.63615,-5.63615
03/20/2020,4837303.23751,-0.00019,0.00000,0.00000,-10.28931,-10.28931
03/19/2020,5390070.81597,0.00000,2043.81326,0.00000,-2.08155,-2.08155
03/18/2020,5504696.55264,0.00000,2043.81326,0.00000,-3.37758,-3.37758
03/17/2020,5697192.58730,0.00000,2043.81326,0.00000,12.96685,12.96685
03/16/2020,5043008.11753,0.00000,2043.81326,0.00000,-10.44778,-10.44778
03/13/2020,5624554.52412,0.00000,9087.81363,0.00000,6.20754,6.20754
03/12/2020,5295283.34915,0.00000,9087.81363,0.00000,-9.47317,-9.47317
03/11/2020,5850358.47006,0.00000,9087.81363,0.00000,-4.24277,-4.24277
03/10/2020,6109976.38930,0.00030,9087.81363,0.00000,1.55939,1.55939
03/09/2020,6011909.71728,-0.00068,13199.58335,0.00000,-5.75117,-5.75117
03/06/2020,6378230.87557,0.00038,14537.38400,0.00000,-0.13038,-0.13038
03/05/2020,6387030.27959,0.00000,14083.96429,0.00000,-1.40684,-1.40684
03/04/2020,6478369.01843,0.00000,14083.96429,0.00000,5.00033,5.00033
03/03/2020,6168125.43757,0.00000,15143.51187,0.00000,-1.02952,-1.02952
03/02/2020,6232445.33534,0.00212,15143.51187,0.00000,4.75768,4.75768
02/28/2020,5942913.99530,-0.00027,20934.29293,0.00000,-3.57206,-3.57206
02/27/2020,6162740.32342,0.00000,22031.98128,0.00000,-4.50723,-4.50723
02/26/2020,6454659.40030,0.00038,22031.98128,0.00000,-1.13786,-1.13786
02/25/2020,6529203.10996,0.00000,22031.98128,0.00000,-2.21190,-2.21190
02/24/2020,6677387.74205,0.00000,22031.98128,0.00000,-1.24453,-1.24453
02/21/2020,6761815.07315,-0.00019,22031.98128,0.00000,-0.50731,-0.50731
