Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIFI
Folio Number:  9A1551300H0B
Download Date:  03/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/15/2019,5843588.89737,-0.00010,0.00000,0.00000,0.14775,0.14775
03/14/2019,5834288.33571,0.00000,679.52465,0.00000,0.08757,0.08757
03/13/2019,5829183.27818,0.00000,679.52465,0.00000,0.22135,0.22135
03/12/2019,5816307.29070,0.00000,679.52465,0.00000,-0.27543,-0.27543
03/11/2019,5832373.32701,0.00000,679.52465,0.00000,1.49201,1.49201
03/08/2019,5746623.25326,0.00014,679.52465,0.00000,0.34695,0.34695
03/07/2019,5724438.91782,0.00000,2992.76573,0.00000,-1.23806,-1.23806
03/06/2019,5796236.81082,0.00000,2992.76573,0.00000,-2.63104,-2.63104
03/05/2019,5952939.93286,0.00000,2992.76573,0.00000,-0.14298,-0.14298
03/04/2019,5961467.85562,0.00000,2992.76573,0.00000,-0.57399,-0.57399
03/01/2019,5995900.75779,-0.00014,2992.76573,0.00000,0.57825,0.57825
02/28/2019,5959664.87181,0.00000,4739.71765,0.00000,-0.39559,-0.39559
02/27/2019,5984032.67937,-0.06178,4060.19300,0.00000,1.16454,1.16454
02/26/2019,5915101.96226,0.00000,4060.19300,0.00000,-0.67259,-0.67259
02/25/2019,5955183.17872,0.00002,4060.19300,0.00000,-0.22726,-0.22726
02/22/2019,5968757.20108,0.06192,4060.19300,0.00000,0.82637,0.82637
02/21/2019,5919804.19039,0.00000,4060.19300,0.00000,-0.00207,-0.00207
02/20/2019,5919926.60554,0.00000,4060.19300,0.00000,0.92083,0.92083
02/19/2019,5865874.72255,-0.00010,4060.19300,0.00000,0.57580,0.57580
02/15/2019,5832403.81498,0.00000,3925.27633,0.00000,2.18742,2.18742
02/14/2019,5707471.76295,-0.00006,3925.27633,0.00000,-0.69550,-0.69550
02/13/2019,5744657.26396,0.00000,6740.72449,0.00000,0.26667,0.26667
02/12/2019,5729360.55806,0.00000,6740.72449,0.00000,1.02696,1.02696
