Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIFI
Folio Number:  9A1551300H0B
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,4351967.35019,0.00000,0.00000,0.00000,2.34111,2.34111
03/24/2020,4252413.47009,0.00000,0.00000,0.00000,9.96627,9.96627
03/23/2020,3867016.29694,0.00000,0.00000,0.00000,-3.00020,-3.00020
03/20/2020,3986622.90764,0.00000,0.00000,0.00000,-5.30490,-5.30490
03/19/2020,4209957.03466,-0.00069,0.00000,0.00000,7.33938,7.33938
03/18/2020,3921438.75748,0.00000,660.47247,0.00000,-13.51154,-13.51154
03/17/2020,4534163.29991,0.00000,660.47247,0.00000,5.77110,5.77110
03/16/2020,4286733.32124,-0.00011,660.47247,0.00000,-13.59795,-13.59795
03/13/2020,4958797.55151,-0.00063,3346.31662,0.00000,9.20205,9.20205
03/12/2020,4538328.06897,0.00000,5674.61244,0.00000,-9.90640,-9.90640
03/11/2020,5037971.70563,-0.00047,5674.61244,0.00000,-5.33870,-5.33870
03/10/2020,5321790.50042,0.00000,6306.74048,0.00000,3.09394,3.09394
03/09/2020,5161889.54131,-0.00279,6306.74048,0.00000,-10.51171,-10.51171
03/06/2020,5768969.95677,-0.00016,6306.74048,0.00000,-1.84275,-1.84275
03/05/2020,5876974.35579,0.00000,6724.04500,0.00000,-3.35134,-3.35134
03/04/2020,6080994.57817,0.00000,6724.04500,0.00000,3.00997,3.00997
03/03/2020,5903110.58698,0.00000,6724.04500,0.00000,-2.74120,-2.74120
03/02/2020,6069676.97595,-0.00021,6724.04500,0.00000,4.92808,4.92808
02/28/2020,5783258.90149,0.00017,7756.40542,0.00000,-3.43996,-3.43996
02/27/2020,5989074.23355,0.00000,8246.30457,0.00000,-3.74342,-3.74342
02/26/2020,6225297.16589,0.00000,5259.39472,0.00000,-1.13092,-1.13092
02/25/2020,6296566.01719,0.00000,5259.39472,0.00000,-2.65476,-2.65476
02/24/2020,6469058.66175,0.00000,4627.26668,0.00000,-2.31873,-2.31873
02/21/2020,6622729.04409,0.00014,4627.26668,0.00000,-0.97041,-0.97041
