Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIHE
Folio Number:  9A1551300H0C
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,7999091.07195,0.00000,0.00000,0.00000,-1.35249,-1.35249
08/01/2019,8108761.20070,0.00012,0.00000,0.00000,-0.20995,-0.20995
07/31/2019,8123049.04867,0.00000,2772.29448,0.00000,-0.73596,-0.73596
07/30/2019,8183295.23153,0.00000,2772.29448,0.00000,0.28887,0.28887
07/29/2019,8159716.11214,826.88953,2772.29448,0.00000,0.20878,0.20878
07/26/2019,8141883.91484,-826.88783,2772.29448,0.00000,-0.31832,-0.31832
07/25/2019,8167191.65425,0.00390,4301.33569,0.00000,-1.30769,-1.30769
07/24/2019,8275465.33869,-0.00259,4301.33569,0.00000,0.12098,0.12098
07/23/2019,8265460.89050,0.00000,4301.33569,0.00000,0.31677,0.31677
07/22/2019,8239347.30243,0.00000,4301.33569,0.00000,-0.20604,-0.20604
07/19/2019,8256367.80179,0.00000,4301.33569,0.00000,-1.17274,-1.17274
07/18/2019,8354393.53491,0.00000,4301.33569,0.00000,0.29975,0.29975
07/17/2019,8329412.93575,0.00000,4301.33569,0.00000,-0.09270,-0.09270
07/16/2019,8337145.37402,-0.00025,4301.33569,0.00000,-0.87286,-0.87286
07/15/2019,8410370.95318,0.00000,4525.95927,0.00000,0.04517,0.04517
07/12/2019,8406571.93777,0.00000,4525.95927,0.00000,-0.24113,-0.24113
07/11/2019,8426902.86428,0.00000,4525.95927,0.00000,0.45243,0.45243
07/10/2019,8388928.17159,0.00000,4525.95927,0.00000,0.40413,0.40413
07/09/2019,8355143.86975,0.00000,4525.95927,0.00000,0.38354,0.38354
07/08/2019,8323204.04055,0.00000,4525.95927,0.00000,-0.23399,-0.23399
07/05/2019,8342736.00347,0.00000,4525.95927,0.00000,-0.39884,-0.39884
07/03/2019,8376161.77543,0.00000,4525.95927,0.00000,0.87480,0.87480
07/02/2019,8306255.79604,0.00000,1753.66479,0.00000,-0.21597,-0.21597
07/01/2019,8324237.24087,0.00000,1753.66479,0.00000,0.30563,0.30563
06/28/2019,8298868.37220,0.00000,1753.66479,0.00000,1.08662,1.08662
06/27/2019,8209641.86826,0.00000,1753.66479,0.00000,1.37118,1.37118
06/26/2019,8099274.17319,0.00000,1051.51072,0.00000,-0.69525,-0.69525
06/25/2019,8155985.86971,0.00195,1051.51072,0.00000,-0.36631,-0.36631
06/24/2019,8183559.47887,0.00000,3467.44407,0.00000,-1.43635,-1.43635
06/21/2019,8302867.93733,0.00000,3467.44407,0.00000,0.46767,0.46767
06/20/2019,8264202.38120,0.00000,3467.44407,0.00000,0.50419,0.50419
06/19/2019,8222726.72215,0.00108,3467.44407,0.00000,1.19008,1.19008
06/18/2019,8125691.73781,0.00000,3755.30565,0.00000,0.73874,0.73874
06/17/2019,8066076.65268,0.00000,3755.30565,0.00000,0.82168,0.82168
06/14/2019,8001135.86386,0.00000,2928.41851,0.00000,-0.62590,-0.62590
06/13/2019,8052996.00961,0.00000,1481.55971,0.00000,0.50502,0.50502
06/12/2019,8012748.31451,0.00000,1256.93613,0.00000,0.62700,0.62700
06/11/2019,7962813.71542,0.00000,1256.93613,0.00000,-0.60645,-0.60645
06/10/2019,8011406.40174,-0.00051,1256.93613,0.00000,0.24949,0.24949
06/07/2019,7989841.64974,0.00000,2880.38104,0.00000,1.78341,1.78341
06/06/2019,7850765.20301,0.00000,1911.30649,0.00000,-0.24764,-0.24764
06/05/2019,7870259.82720,0.00000,1911.30649,0.00000,0.05563,0.05563
06/04/2019,7865882.59751,0.00000,1911.30649,0.00000,1.79719,1.79719
06/03/2019,7726979.63136,0.00000,1911.30649,0.00000,0.07152,0.07152
05/31/2019,7721455.86149,0.00000,1911.30649,0.00000,-1.14454,-1.14454
05/30/2019,7810876.24346,0.00000,1911.30649,0.00000,0.37428,0.37428
05/29/2019,7781743.94643,0.00000,1911.30649,0.00000,-0.29164,-0.29164
05/28/2019,7804798.82285,0.00000,1623.44491,0.00000,-1.07475,-1.07475
05/24/2019,7889609.76258,0.00000,1623.44491,0.00000,0.71750,0.71750
05/23/2019,7833393.71188,0.00000,1623.44491,0.00000,-1.18310,-1.18310
05/22/2019,7927199.24345,0.00000,1623.44491,0.00000,0.31221,0.31221
05/21/2019,7902521.99390,0.00000,1623.44491,0.00000,1.39581,1.39581
05/20/2019,7793714.05332,0.00000,1623.44491,0.00000,-0.17828,-0.17828
05/17/2019,7807636.50996,0.00000,1623.44491,0.00000,-1.33361,-1.33361
05/16/2019,7913189.04598,0.00000,1623.44491,0.00000,0.98868,0.98868
05/15/2019,7837326.73891,0.00000,0.00000,0.00000,0.74280,0.74280
05/14/2019,7779540.65945,0.00000,0.00000,0.00000,0.83386,0.83386
05/13/2019,7715206.47824,0.00000,0.00000,0.00000,-2.38966,-2.38966
05/10/2019,7904087.48491,0.00057,0.00000,0.00000,-0.01391,-0.01391
05/09/2019,7905187.21952,0.00000,0.00000,0.00000,0.66944,0.66944
05/08/2019,7852618.70316,0.00000,0.00000,0.00000,0.06310,0.06310
05/07/2019,7847667.12825,0.00000,0.00000,0.00000,-2.33326,-2.33326
05/06/2019,8035147.78916,0.00000,0.00000,0.00000,1.12637,1.12637
05/03/2019,7945650.40392,0.00000,0.00000,0.00000,1.41931,1.41931
05/02/2019,7834455.36140,-0.00122,0.00000,0.00000,1.67438,1.67438
05/01/2019,7705437.02656,-0.00463,0.00000,0.00000,-0.01311,-0.01311
