Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIHE
Folio Number:  9A1551300H0C
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,6857374.86152,0.00000,0.00000,0.00000,1.85103,1.85103
03/24/2020,6732749.95714,-0.00013,0.00000,0.00000,9.22377,9.22377
03/23/2020,6164180.29694,-0.00057,0.00000,0.00000,-4.07862,-4.07862
03/20/2020,6426284.03960,0.00000,0.00000,0.00000,-5.89474,-5.89474
03/19/2020,6828825.82433,-0.00037,0.00000,0.00000,0.44149,0.44149
03/18/2020,6797904.95931,0.00000,905.02322,0.00000,-4.18910,-4.18910
03/17/2020,7095166.71019,0.00000,905.02322,0.00000,5.76175,5.76175
03/16/2020,6708582.94432,0.00000,905.02322,0.00000,-11.93751,-11.93751
03/13/2020,7618102.84530,0.00000,905.02322,0.00000,5.72026,5.72026
03/12/2020,7205857.43745,0.00000,905.02322,0.00000,-7.95521,-7.95521
03/11/2020,7828720.22731,0.00000,905.02322,0.00000,-3.96933,-3.96933
03/10/2020,8152349.91408,0.00018,905.02322,0.00000,3.68391,3.68391
03/09/2020,7860743.82956,0.00000,2824.68325,0.00000,-6.46558,-6.46558
03/06/2020,8404314.30718,0.00000,2824.68325,0.00000,-0.90602,-0.90602
03/05/2020,8481180.98127,0.00000,2824.68325,0.00000,-2.81606,-2.81606
03/04/2020,8727018.76726,0.00000,2824.68325,0.00000,5.70018,5.70018
03/03/2020,8256237.12288,0.00000,2824.68325,0.00000,-2.68151,-2.68151
03/02/2020,8483807.01339,0.00000,2824.68325,0.00000,4.18121,4.18121
02/28/2020,8143204.32002,0.00000,2824.68325,0.00000,-1.72175,-1.72175
02/27/2020,8285915.55790,0.00000,2824.68325,0.00000,-2.64010,-2.64010
02/26/2020,8510680.35025,0.00000,2824.68325,0.00000,-0.27414,-0.27414
02/25/2020,8534083.72633,0.00000,2824.68325,0.00000,-2.78733,-2.78733
02/24/2020,8778857.79400,0.00000,2824.68325,0.00000,-3.23799,-3.23799
02/21/2020,9072723.42381,0.00000,2824.68325,0.00000,-0.24239,-0.24239
