Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIIN
Folio Number:  9A1551300H0D
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,11008803.22978,0.00000,0.00000,0.00000,-8.20355,-8.20355
03/06/2020,11992624.54158,0.00000,0.00000,0.00000,-1.36436,-1.36436
03/05/2020,12158510.98601,0.00000,0.00000,0.00000,-4.06986,-4.06986
03/04/2020,12674338.58889,0.00000,0.00000,0.00000,4.08638,4.08638
03/03/2020,12176750.81032,0.00000,0.00000,0.00000,-2.10554,-2.10554
03/02/2020,12438651.64472,0.00000,0.00000,0.00000,3.20992,3.20992
02/28/2020,12051798.32392,0.00000,0.00000,0.00000,-1.88505,-1.88505
02/27/2020,12279622.25624,0.00000,3723.80237,0.00000,-3.21669,-3.21669
02/26/2020,12687870.98371,0.00000,3723.80237,0.00000,-1.05237,-1.05237
02/25/2020,12822853.61202,0.00000,3723.80237,0.00000,-3.46245,-3.46245
02/24/2020,13282896.86455,0.00000,3723.80237,0.00000,-2.96529,-2.96529
02/21/2020,13688924.05109,0.00026,3723.80237,0.00000,-0.25384,-0.25384
02/20/2020,13722518.76138,0.00000,4974.84882,0.00000,-0.38843,-0.38843
02/19/2020,13776047.85308,-0.00180,4974.84882,0.00000,0.37526,0.37526
02/18/2020,13724525.86494,0.00000,4974.84882,0.00000,-0.53822,-0.53822
02/14/2020,13798819.98881,0.00000,4974.84882,0.00000,0.07501,0.07501
02/13/2020,13788473.27504,0.00000,4974.84882,0.00000,-0.19398,-0.19398
02/12/2020,13816533.27701,0.00000,3723.80237,0.00000,0.72785,0.72785
02/11/2020,13716669.92721,0.00000,3723.80237,0.00000,0.42970,0.42970
02/10/2020,13657965.52007,0.00000,3723.80237,0.00000,0.25512,0.25512
02/07/2020,13623200.37720,0.00947,3723.80237,0.00000,-0.60867,-0.60867
02/06/2020,13706651.64853,0.00000,3723.80237,0.00000,-0.16114,-0.16114
02/05/2020,13728780.85688,0.00000,3723.80237,0.00000,0.79432,0.79432
02/04/2020,13620560.50254,-0.00576,3723.80237,0.00000,1.65540,1.65540
02/03/2020,13398696.73984,0.00000,3723.80237,0.00000,0.54911,0.54911
01/31/2020,13325504.60556,-0.00046,3723.80237,0.00000,-1.82389,-1.82389
01/30/2020,13572656.29929,-0.00379,4198.43123,0.00000,0.40967,0.40967
01/29/2020,13518432.25759,0.00000,3028.81573,0.00000,-0.30835,-0.30835
01/28/2020,13560254.72783,0.00000,3028.81573,0.00000,0.63214,0.63214
01/27/2020,13475054.91157,0.00092,3028.81573,0.00000,-1.20283,-1.20283
01/24/2020,13639147.37631,0.00000,3028.81573,0.00000,-0.62223,-0.62223
01/23/2020,13724564.04686,-0.00038,3028.81573,0.00000,0.63710,0.63710
01/22/2020,13636582.05688,0.00000,4106.46155,0.00000,-0.33769,-0.33769
01/21/2020,13682801.16911,0.00000,4106.46155,0.00000,-0.72540,-0.72540
01/17/2020,13782810.98389,0.00000,4106.46155,0.00000,-0.23454,-0.23454
01/16/2020,13815223.35152,0.00000,4106.46155,0.00000,1.03232,1.03232
01/15/2020,13674495.58572,0.00021,3631.83269,0.00000,0.33999,0.33999
01/14/2020,13622235.43908,0.00000,9545.77386,0.00000,-0.04761,-0.04761
01/13/2020,13628727.99425,0.00000,9545.77386,0.00000,1.06082,1.06082
01/10/2020,13485568.48282,0.00000,9545.77386,0.00000,-0.30659,-0.30659
01/09/2020,13527070.72623,0.00000,9545.77386,0.00000,0.69069,0.69069
01/08/2020,13434216.59457,0.00000,9545.77386,0.00000,0.39281,0.39281
01/07/2020,13382692.88268,0.00000,8468.12804,0.00000,-0.12260,-0.12260
01/06/2020,13401685.02755,-0.00269,5913.94117,0.00000,-0.21807,-0.21807
01/03/2020,13430987.38263,0.00000,5913.94117,0.00000,-0.17418,-0.17418
01/02/2020,13454432.19064,0.00000,5913.94117,0.00000,1.25246,1.25246
12/31/2019,13287931.85670,0.00000,5913.94117,0.00000,-0.03530,-0.03530
12/30/2019,13292625.95541,0.00016,5913.94117,0.00000,-0.23319,-0.23319
12/27/2019,13322671.70496,0.00149,6951.97756,0.00000,-0.03072,-0.03072
12/26/2019,13323485.77802,0.00000,10234.57650,0.00000,0.02698,0.02698
12/24/2019,13319889.90154,0.00000,10234.57650,0.00000,-0.09608,-0.09608
12/23/2019,13332709.15803,0.00000,10234.57650,0.00000,0.03710,0.03710
12/20/2019,13327760.91138,0.00015,10234.57650,0.00000,1.01123,1.01123
12/19/2019,13192097.21610,0.00000,12370.92607,0.00000,-0.36338,-0.36338
12/18/2019,13240254.28924,-0.00009,12370.92607,0.00000,-0.20116,-0.20116
12/17/2019,13265872.63104,0.00000,13465.18831,0.00000,-0.15555,-0.15555
12/16/2019,13286560.26759,-0.00021,13465.18831,0.00000,0.59581,0.59581
12/13/2019,13205565.73599,0.00024,15686.56427,0.00000,-0.10136,-0.10136
12/12/2019,13216231.42766,0.00074,18435.66545,0.00000,0.51592,0.51592
12/11/2019,13143936.06881,3346.97548,22801.15290,0.00000,0.58191,0.58191
12/10/2019,13064423.43996,-3346.97187,22801.15290,0.00000,0.00125,0.00125
12/09/2019,13060930.85056,0.00000,29476.45064,0.00000,-0.43323,-0.43323
12/06/2019,13117889.47398,0.00040,29476.45064,0.00000,0.96846,0.96846
