Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIIN
Folio Number:  9A1551300H0D
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,9329560.80133,0.00000,0.00000,0.00000,4.43320,4.43320
03/24/2020,8933520.32071,0.00000,0.00000,0.00000,12.89989,12.89989
03/23/2020,7912780.22962,0.00000,0.00000,0.00000,-4.45617,-4.45617
03/20/2020,8281832.79325,0.00000,0.00000,0.00000,-4.62608,-4.62608
03/19/2020,8683540.56727,0.00000,0.00000,0.00000,1.19943,1.19943
03/18/2020,8580622.14359,0.00006,0.00000,0.00000,-9.37762,-9.37762
03/17/2020,9467287.36879,0.00000,1258.67901,0.00000,4.00265,4.00265
03/16/2020,9102880.95513,-0.00001,1258.67901,0.00000,-12.56578,-12.56578
03/13/2020,10408152.92210,0.00000,4406.44864,0.00000,7.96357,7.96357
03/12/2020,9640105.63261,0.00011,4406.44864,0.00000,-11.57367,-11.57367
03/11/2020,10898644.14773,0.00000,8188.44107,0.00000,-5.15328,-5.15328
03/10/2020,11491242.58340,-0.00021,8188.44107,0.00000,4.35295,4.35295
03/09/2020,11008803.22978,0.00000,10943.60344,0.00000,-8.19607,-8.19607
03/06/2020,11992624.54158,0.00000,10943.60344,0.00000,-1.35293,-1.35293
03/05/2020,12158510.98601,0.00000,9684.92443,0.00000,-4.06675,-4.06675
03/04/2020,12674338.58889,0.00000,9684.92443,0.00000,4.08313,4.08313
03/03/2020,12176750.81032,0.00000,9684.92443,0.00000,-2.10390,-2.10390
03/02/2020,12438651.64472,0.00000,9684.92443,0.00000,3.20734,3.20734
02/28/2020,12051798.32392,0.00000,9684.92443,0.00000,-1.88357,-1.88357
02/27/2020,12279622.25624,0.00000,13408.72680,0.00000,-3.21423,-3.21423
02/26/2020,12687870.98371,0.00000,13408.72680,0.00000,-1.05157,-1.05157
02/25/2020,12822853.61202,0.00000,13408.72680,0.00000,-3.45993,-3.45993
02/24/2020,13282896.86455,0.00000,13408.72680,0.00000,-2.94090,-2.94090
02/21/2020,13688924.05109,0.00026,10260.95717,0.00000,-0.25372,-0.25372
