Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIIT
Folio Number:  9A1551300H0E
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,5124638.29149,0.00000,0.00000,0.00000,0.29173,0.29173
06/07/2019,5109731.73471,0.00000,0.00000,0.00000,0.86636,0.86636
06/06/2019,5065843.09592,-0.00193,0.00000,0.00000,0.37227,0.37227
06/05/2019,5047054.23031,0.00000,0.00000,0.00000,1.39606,1.39606
06/04/2019,4977564.45036,0.00006,0.00000,0.00000,3.03062,3.03062
06/03/2019,4830832.33489,0.00000,318.29985,0.00000,-2.17718,-2.17718
05/31/2019,4938356.10192,0.00000,318.29985,0.00000,-0.95258,-0.95258
05/30/2019,4983209.60857,0.00033,2962.09445,0.00000,1.30505,1.30505
05/29/2019,4917416.43075,0.00000,4521.53320,0.00000,-1.41148,-1.41148
05/28/2019,4987883.24540,0.00000,4521.53320,0.00000,0.89437,0.89437
05/24/2019,4943628.49554,0.00000,4521.53320,0.00000,0.35822,0.35822
05/23/2019,4925966.42433,0.00000,4521.53320,0.00000,-1.87416,-1.87416
05/22/2019,5020136.47551,0.00000,4521.53320,0.00000,0.04281,0.04281
05/21/2019,5017986.30897,0.00000,4521.53320,0.00000,1.16690,1.16690
05/20/2019,4960054.80715,0.00000,4521.53320,0.00000,-0.83560,-0.83560
05/17/2019,5001888.12404,0.00000,4521.53320,0.00000,-1.83602,-1.83602
05/16/2019,5095525.77555,0.00000,4521.53320,0.00000,1.76038,1.76038
05/15/2019,5010260.55716,0.00000,1559.43875,0.00000,0.88849,0.88849
05/14/2019,4966123.20303,0.00000,1559.43875,0.00000,1.43810,1.43810
05/13/2019,4897255.18953,0.00000,0.00000,0.00000,-4.45564,-4.45564
05/10/2019,5125635.01772,-0.00286,0.00000,0.00000,0.06214,0.06214
05/09/2019,5122452.12259,-0.00045,0.00000,0.00000,-0.34880,-0.34880
05/08/2019,5140095.58073,0.00000,286.10550,0.00000,0.61875,0.61875
05/07/2019,5108484.85438,-0.00228,286.10550,0.00000,-1.94734,-1.94734
05/06/2019,5209945.94307,0.00000,286.10550,0.00000,-0.11201,-0.11201
05/03/2019,5215788.66622,0.00262,286.10550,0.00000,1.33914,1.33914
05/02/2019,5146861.15093,0.00000,286.10550,0.00000,0.13464,0.13464
05/01/2019,5139940.31745,0.00114,286.10550,0.00000,-0.79385,-0.79385
04/30/2019,5181072.46834,0.00003,286.10550,0.00000,0.62209,0.62209
04/29/2019,5148349.77536,0.00000,975.44815,0.00000,0.19547,0.19547
04/26/2019,5138303.90006,0.00220,975.44815,0.00000,0.35651,0.35651
04/25/2019,5120046.88701,0.00057,975.44815,0.00000,-0.08523,-0.08523
04/24/2019,5124415.32205,-0.00165,975.44815,0.00000,0.44426,0.44426
04/23/2019,5101746.12661,0.00000,975.44815,0.00000,1.48273,1.48273
04/22/2019,5027191.73492,0.00000,975.44815,0.00000,0.17531,0.17531
04/18/2019,5018392.50624,-0.00152,975.44815,0.00000,-0.60469,-0.60469
04/17/2019,5048929.00958,-0.00005,975.44815,0.00000,-0.45390,-0.45390
04/16/2019,5070555.30147,0.00000,2375.26380,0.00000,0.18227,0.18227
04/15/2019,5061325.74263,0.00005,2375.26380,0.00000,-0.31975,-0.31975
04/12/2019,5076873.63071,0.00000,3070.27898,0.00000,0.84117,0.84117
04/11/2019,5034499.05725,0.00000,3070.27898,0.00000,-0.27186,-0.27186
04/10/2019,5048231.41948,0.00000,3070.27898,0.00000,1.38276,1.38276
04/09/2019,4979336.59041,0.00000,3070.27898,0.00000,-0.37788,-0.37788
04/08/2019,4998235.60619,0.00000,3070.27898,0.00000,-0.05025,-0.05025
04/05/2019,5001036.07988,0.00000,2784.17348,0.00000,0.62971,0.62971
04/04/2019,4969723.73466,0.00000,2784.17348,0.00000,-0.58563,-0.58563
04/03/2019,4999015.93115,0.00000,2784.17348,0.00000,0.99179,0.99179
04/02/2019,4949895.84221,0.00000,2784.17348,0.00000,-0.06978,-0.06978
04/01/2019,4953354.10539,0.00025,2784.17348,0.00000,0.86028,0.86028
03/29/2019,4910503.02094,-0.00005,3362.16143,0.00000,0.91299,0.91299
03/28/2019,4863941.36787,-0.00008,5466.68444,0.00000,0.16680,0.16680
03/27/2019,4855392.00322,0.00000,5907.51252,0.00000,-0.84030,-0.84030
03/26/2019,4896587.53953,0.00000,5907.51252,0.00000,0.62310,0.62310
03/25/2019,4866229.46269,0.00000,5907.51252,0.00000,-0.09117,-0.09117
03/22/2019,4869604.48770,0.00000,6978.45784,0.00000,-2.58647,-2.58647
03/21/2019,4999084.79427,0.00000,6978.45784,0.00000,2.08399,2.08399
03/20/2019,4896888.49815,0.00000,6978.45784,0.00000,-0.37404,-0.37404
03/19/2019,4915988.96534,0.00000,6289.11519,0.00000,0.40855,0.40855
03/18/2019,4895961.06425,0.00000,6289.11519,0.00000,0.05073,0.05073
03/15/2019,4893475.38314,0.00000,6289.11519,0.00000,-0.04088,-0.04088
03/14/2019,4895479.34391,-0.00039,6289.11519,0.00000,0.27599,0.27599
03/13/2019,4882044.07302,0.00000,6233.25533,0.00000,0.47555,0.47555
03/12/2019,4859348.80915,0.00000,5792.42725,0.00000,0.07214,0.07214
03/11/2019,4857241.57579,-0.00281,4392.61160,0.00000,1.29143,1.29143
03/08/2019,4795835.64656,-0.00035,3814.62365,0.00000,0.84413,0.84413
