Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIIT
Folio Number:  9A1551300H0E
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,4852432.65270,0.00000,0.00000,0.00000,0.57503,0.57503
03/24/2020,4824689.12339,0.00000,0.00000,0.00000,7.27127,7.27127
03/23/2020,4497652.60955,0.00000,0.00000,0.00000,1.36110,1.36110
03/20/2020,4437257.26965,0.00000,0.00000,0.00000,-3.07550,-3.07550
03/19/2020,4578055.56453,0.00073,0.00000,0.00000,1.65329,1.65329
03/18/2020,4503049.48905,0.00000,548.53905,0.00000,-4.04217,-4.04217
03/17/2020,4692760.89548,0.00000,548.53905,0.00000,5.72263,5.72263
03/16/2020,4438717.89083,0.00000,548.53905,0.00000,-11.12764,-11.12764
03/13/2020,4994554.97876,0.00000,548.53905,0.00000,8.72930,8.72930
03/12/2020,4593524.42665,-0.00016,548.53905,0.00000,-9.16667,-9.16667
03/11/2020,5056321.69886,0.00000,1373.49179,0.00000,-3.91680,-3.91680
03/10/2020,5262497.02112,0.00575,1373.49179,0.00000,4.55014,4.55014
03/09/2020,5033407.22243,0.00000,1373.49179,0.00000,-7.28336,-7.28336
03/06/2020,5428914.57636,0.00000,1373.49179,0.00000,-2.38973,-2.38973
03/05/2020,5561860.88562,0.00000,1373.49179,0.00000,-2.66449,-2.66449
03/04/2020,5714150.38709,0.00000,1373.49179,0.00000,4.11664,4.11664
03/03/2020,5488165.65605,-0.00025,1373.49179,0.00000,-2.42838,-2.42838
03/02/2020,5624407.41384,0.00000,1756.42643,0.00000,3.92366,3.92366
02/28/2020,5411990.35668,0.00000,1756.42643,0.00000,0.17131,0.17131
02/27/2020,5403280.36568,0.00000,1207.88738,0.00000,-3.41349,-3.41349
02/26/2020,5594281.86195,-0.00381,1207.88738,0.00000,-0.31278,-0.31278
02/25/2020,5611838.18716,0.00000,1207.88738,0.00000,-2.89158,-2.89158
02/24/2020,5778976.62183,0.00000,1207.88738,0.00000,-3.66323,-3.66323
02/21/2020,5998769.48449,0.00000,1207.88738,0.00000,-1.95786,-1.95786
