Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIMS
Folio Number:  9A1551300H0F
Download Date:  01/20/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
01/17/2020,11471437.92256,0.00000,0.00000,0.00000,0.16253,0.16253
01/16/2020,11452823.50855,0.00000,0.00000,0.00000,0.47874,0.47874
01/15/2020,11398255.74123,-0.00009,0.00000,0.00000,0.74368,0.74368
01/14/2020,11311878.61743,-0.00019,2236.55866,0.00000,-0.31696,-0.31696
01/13/2020,11344966.54193,-0.00072,5123.69849,0.00000,0.66685,0.66685
01/10/2020,11268067.51058,0.00000,6835.88656,0.00000,-0.09624,-0.09624
01/09/2020,11278928.37185,0.00000,6835.88656,0.00000,0.32562,0.32562
01/08/2020,11242299.25441,0.00000,6835.88656,0.00000,0.37577,0.37577
01/07/2020,11200186.18318,0.00081,6835.88656,0.00000,-0.09728,-0.09728
01/06/2020,11209542.83780,0.00000,8391.93908,0.00000,-0.03163,-0.03163
01/03/2020,11213092.62690,0.00019,8391.93908,0.00000,0.30910,0.30910
01/02/2020,11175063.92969,0.00000,11841.67823,0.00000,-1.25600,-1.25600
12/31/2019,11317358.52524,0.00056,11841.67823,0.00000,-0.02762,-0.02762
12/30/2019,11318251.78586,0.00000,14078.44926,0.00000,-0.30632,-0.30632
12/27/2019,11359907.07451,0.00000,7242.56270,0.00000,0.22464,0.22464
12/26/2019,11334429.25205,0.00000,7242.56270,0.00000,0.24364,0.24364
12/24/2019,11306863.71365,0.00000,7242.56270,0.00000,0.12800,0.12800
12/23/2019,11292399.71643,0.00000,7242.56270,0.00000,-0.58143,-0.58143
12/20/2019,11358483.59483,0.00000,7242.56270,0.00000,1.09169,1.09169
12/19/2019,11235745.04420,0.00000,7242.56270,0.00000,0.60551,0.60551
12/18/2019,11169633.96842,0.00000,5686.51018,0.00000,0.04932,0.04932
12/17/2019,11164125.49085,0.00000,5686.51018,0.00000,-0.11528,-0.11528
12/16/2019,11177017.15621,-0.00037,5686.51018,0.00000,0.22231,0.22231
12/13/2019,11145327.14538,0.00011,12571.29754,0.00000,-0.22286,-0.22286
12/12/2019,11166423.64001,0.00000,16397.09923,0.00000,-0.24913,-0.24913
12/11/2019,11194353.24063,0.00000,16397.09923,0.00000,-0.07048,-0.07048
12/10/2019,11202259.59266,0.00020,16397.09923,0.00000,-0.28677,-0.28677
12/09/2019,11225835.62151,0.00000,25085.23297,0.00000,-0.15513,-0.15513
12/06/2019,11243316.08935,0.00000,25085.23297,0.00000,0.34727,0.34727
12/05/2019,11204319.77947,0.00000,25085.23297,0.00000,0.18468,0.18468
12/04/2019,11189306.09140,0.00000,19398.72279,0.00000,0.70605,0.70605
12/03/2019,11110722.28592,0.00000,19398.72279,0.00000,-0.04157,-0.04157
12/02/2019,11115351.46665,-0.00020,19398.72279,0.00000,-0.27108,-0.27108
11/29/2019,11144137.11239,-0.00034,20878.92532,0.00000,-0.48398,-0.48398
11/27/2019,11200466.87514,0.00000,18848.25267,0.00000,0.41808,0.41808
11/26/2019,11158708.81347,0.00000,13896.19951,0.00000,0.82156,0.82156
11/25/2019,11067666.79508,0.00000,13896.19951,0.00000,0.60001,0.60001
11/22/2019,11010260.83851,0.00000,5208.06577,0.00000,-0.07439,-0.07439
11/21/2019,11018461.07152,0.00000,5208.06577,0.00000,-0.99800,-0.99800
11/20/2019,11131997.25282,-0.00006,2797.26546,0.00000,0.00928,0.00928
11/19/2019,11128015.03761,0.00000,5746.20067,0.00000,0.56900,0.56900
11/18/2019,11065021.88541,4300.43019,5746.20067,0.00000,0.36540,0.36540
11/15/2019,11020423.64911,-4300.43247,5746.20067,0.00000,0.19274,0.19274
11/14/2019,10999208.13698,0.00000,10046.63314,0.00000,0.06255,0.06255
11/13/2019,10993806.41528,0.00000,8566.43061,0.00000,0.55378,0.55378
11/12/2019,10933212.86940,0.00064,8566.43061,0.00000,0.28582,0.28582
11/11/2019,10902028.63450,0.00303,8566.43061,0.00000,0.07620,0.07620
11/08/2019,10891223.03937,0.00000,11064.75394,0.00000,-1.13666,-1.13666
11/07/2019,11016570.04571,-0.00032,11064.75394,0.00000,-0.00445,-0.00445
11/06/2019,11013778.99702,-0.00086,14346.43188,0.00000,0.40442,0.40442
11/05/2019,10969358.90473,0.00000,14346.43188,0.00000,-0.16793,-0.16793
11/04/2019,10990783.98906,0.00000,11397.49667,0.00000,-0.03655,-0.03655
11/01/2019,10994806.46233,-0.00021,11397.49667,0.00000,-0.00744,-0.00744
10/31/2019,10991529.88879,0.00480,15493.30433,0.00000,-0.51544,-0.51544
10/30/2019,11049282.94064,0.00000,14768.93165,0.00000,0.42372,0.42372
10/29/2019,11002599.81954,0.00000,14768.93165,0.00000,0.68310,0.68310
10/28/2019,10933456.72681,0.00000,9162.71317,0.00000,0.07059,0.07059
10/25/2019,10925737.23430,0.00039,9162.71317,0.00000,-0.28966,-0.28966
10/24/2019,10955171.18055,0.00000,11494.88358,0.00000,0.35397,0.35397
10/23/2019,10916489.72686,0.00000,11494.88358,0.00000,-0.25168,-0.25168
10/22/2019,10944063.14417,0.00000,11494.88358,0.00000,-0.73403,-0.73403
10/21/2019,11025075.00462,-0.00471,11494.88358,0.00000,0.06864,0.06864
10/18/2019,11015950.13616,0.00000,13049.22160,0.00000,-0.28612,-0.28612
10/17/2019,11047596.72589,0.00000,13049.22160,0.00000,0.98032,0.98032
10/16/2019,10942004.41689,0.00000,11263.99403,0.00000,-0.17740,-0.17740
10/15/2019,10961469.79757,0.00011,11263.99403,0.00000,-0.00598,-0.00598
10/14/2019,10955698.28553,0.00000,17691.33702,0.00000,-0.86886,-0.86886
10/11/2019,11049016.92553,0.00000,20551.79777,0.00000,0.49915,0.49915
10/10/2019,10994037.69623,0.00003,20551.79777,0.00000,0.25535,0.25535
10/09/2019,10957720.85528,0.00000,28814.11434,0.00000,0.67682,0.67682
