Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIMS
Folio Number:  9A1551300H0F
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,10305929.39629,0.00008,0.00000,0.00000,1.25753,1.25753
02/14/2019,10175129.77410,0.00072,2809.20278,0.00000,0.00950,0.00950
02/13/2019,10174163.39850,0.00079,2809.20278,0.00000,0.83324,0.83324
02/12/2019,10090065.56112,0.00065,2809.20278,0.00000,0.78708,0.78708
02/11/2019,10011246.86934,-0.00032,2809.20278,0.00000,0.76792,0.76792
02/08/2019,9934932.51499,0.00000,2809.20278,0.00000,0.35904,0.35904
02/07/2019,9899380.14022,0.00000,2809.20278,0.00000,-1.98406,-1.98406
02/06/2019,10099822.62883,-0.00165,2809.20278,0.00000,-0.20195,-0.20195
02/05/2019,10120266.62462,0.00000,2809.20278,0.00000,-0.31981,-0.31981
02/04/2019,10152745.05704,0.00020,2809.20278,0.00000,0.72367,0.72367
02/01/2019,10079780.48908,0.00322,2809.20278,0.00000,-0.08223,-0.08223
01/31/2019,10086354.91759,-0.00098,4532.22132,0.00000,-0.35081,-0.35081
01/30/2019,10122779.87941,0.00000,3631.30628,0.00000,0.53298,0.53298
01/29/2019,10069094.37741,-0.00216,3631.30628,0.00000,0.12389,0.12389
01/28/2019,10056630.24987,0.00000,3631.30628,0.00000,0.05712,0.05712
01/25/2019,10050887.08219,0.00000,3631.30628,0.00000,0.56806,0.56806
01/24/2019,9994093.61858,-0.00066,3631.30628,0.00000,-0.78293,-0.78293
01/23/2019,10072986.50181,0.00000,3631.30628,0.00000,-0.24460,-0.24460
01/22/2019,10097694.70648,0.00000,3631.30628,0.00000,-1.59505,-1.59505
01/18/2019,10261427.34241,-0.00101,3631.30628,0.00000,1.33824,1.33824
01/17/2019,10125870.59079,-0.00114,3631.30628,0.00000,0.74173,0.74173
01/16/2019,10050823.88290,0.00205,4097.90345,0.00000,0.60037,0.60037
01/15/2019,9990817.45573,0.00061,4097.90345,0.00000,0.59742,0.59742
