Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAIMS
Folio Number:  9A1551300H0F
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,8990074.45358,0.00000,0.00000,0.00000,-0.65643,-0.65643
03/24/2020,9049477.57402,0.00000,0.00000,0.00000,4.45932,4.45932
03/23/2020,8663159.69407,0.00000,0.00000,0.00000,-3.09415,-3.09415
03/20/2020,8939769.15882,0.00000,0.00000,0.00000,-3.87505,-3.87505
03/19/2020,9300154.88013,0.00000,0.00000,0.00000,0.08502,0.08502
03/18/2020,9292254.97957,0.00000,0.00000,0.00000,-4.19928,-4.19928
03/17/2020,9699567.33482,0.00000,0.00000,0.00000,7.73658,7.73658
03/16/2020,9003039.99024,0.00000,0.00000,0.00000,-5.75938,-5.75938
03/13/2020,9553248.32182,-0.00010,0.00000,0.00000,6.59140,6.59140
03/12/2020,8960067.24241,0.00000,2427.24955,0.00000,-9.28318,-9.28318
03/11/2020,9877212.39683,0.00000,2427.24955,0.00000,-4.30580,-4.30580
03/10/2020,10321751.31507,-0.00078,2427.24955,0.00000,2.52615,2.52615
03/09/2020,10067373.42159,0.00000,2427.24955,0.00000,-5.61004,-5.61004
03/06/2020,10665869.32532,0.00000,2427.24955,0.00000,-0.23008,-0.23008
03/05/2020,10690471.61565,0.00000,2427.24955,0.00000,-2.46153,-2.46153
03/04/2020,10960322.79775,0.00000,2427.24955,0.00000,4.03559,4.03559
03/03/2020,10535072.20644,0.00000,2427.24955,0.00000,-1.41184,-1.41184
03/02/2020,10685975.88486,0.00042,2427.24955,0.00000,4.85350,4.85350
02/28/2020,10185995.16367,-0.00010,7658.71102,0.00000,-2.54499,-2.54499
02/27/2020,10450681.57190,0.00000,9174.53235,0.00000,-3.23301,-3.23301
02/26/2020,10802575.00204,0.00000,6747.28280,0.00000,-1.00898,-1.00898
02/25/2020,10912751.02368,0.00000,6747.28280,0.00000,-2.37356,-2.37356
02/24/2020,11178232.77292,0.00000,6747.28280,0.00000,-1.91597,-1.91597
02/21/2020,11396719.41362,-0.00045,6747.28280,0.00000,-0.14664,-0.14664
