Client Name:  Marketocracy Capital Management, LLC
Folio Name:  CBUSC1
Folio Number:  9A1551500101
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,1113561.64151,0.00000,0.00000,0.00000,-1.11843,-1.11843
09/30/2019,1126156.93433,0.00028,0.00000,0.00000,0.53851,0.53851
09/27/2019,1120124.91412,-0.00009,0.00000,0.00000,-0.96213,-0.96213
09/26/2019,1130652.79836,0.00000,353.89195,0.00000,-0.31761,-0.31761
09/25/2019,1134256.44265,-0.00027,353.89195,0.00000,0.67024,0.67024
09/24/2019,1125239.10833,0.00000,1817.19040,0.00000,-0.89843,-0.89843
09/23/2019,1135810.58094,0.00000,1463.29845,0.00000,0.04826,0.04826
09/20/2019,1135262.05396,-0.00014,1463.29845,0.00000,-0.41983,-0.41983
09/19/2019,1141311.51067,0.00000,206.29302,0.00000,-0.01141,-0.01141
09/18/2019,1141441.73579,0.00000,206.29302,0.00000,-0.15574,-0.15574
09/17/2019,1143222.55290,0.00000,206.29302,0.00000,-0.44777,-0.44777
09/16/2019,1148365.53024,0.00000,206.29302,0.00000,1.13963,1.13963
09/13/2019,1135423.53811,0.00000,206.29302,0.00000,-0.19693,-0.19693
09/12/2019,1137664.34893,0.00021,206.29302,0.00000,-0.07702,-0.07702
09/11/2019,1138266.75936,0.00000,480.96770,0.00000,0.70682,0.70682
09/10/2019,1130274.35664,0.00000,480.96770,0.00000,-0.08741,-0.08741
09/09/2019,1131263.63038,0.00000,480.96770,0.00000,0.41676,0.41676
09/06/2019,1126566.56704,0.00000,480.96770,0.00000,-0.03686,-0.03686
09/05/2019,1126982.12231,0.00000,480.96770,0.00000,1.51733,1.51733
09/04/2019,1110130.50782,0.00000,480.96770,0.00000,1.40272,1.40272
09/03/2019,1094767.25473,-0.00001,480.96770,0.00000,-0.41765,-0.41765
08/30/2019,1098720.48129,0.00000,1121.21910,0.00000,0.09797,0.09797
08/29/2019,1097850.28946,0.00000,914.92608,0.00000,1.62819,1.62819
08/28/2019,1080246.96131,0.00000,914.92608,0.00000,1.11967,1.11967
08/27/2019,1068275.52117,0.00000,914.92608,0.00000,-0.14343,-0.14343
08/26/2019,1069811.28181,0.00000,914.92608,0.00000,0.92283,0.92283
08/23/2019,1060020.62094,0.00000,914.92608,0.00000,-3.08985,-3.08985
08/22/2019,1093847.10737,0.00005,914.92608,0.00000,-0.42101,-0.42101
08/21/2019,1098071.65588,0.00035,1318.90708,0.00000,1.77281,1.77281
08/20/2019,1079630.92829,0.00000,608.98067,0.00000,-0.51286,-0.51286
08/19/2019,1085199.61504,0.00000,608.98067,0.00000,1.50835,1.50835
08/16/2019,1069065.16601,0.00000,608.98067,0.00000,1.29854,1.29854
08/15/2019,1055353.04248,0.00000,608.98067,0.00000,0.34398,0.34398
08/14/2019,1051733.14730,0.00000,608.98067,0.00000,-3.22229,-3.22229
08/13/2019,1086771.72447,0.00000,608.98067,0.00000,1.21166,1.21166
08/12/2019,1073754.11879,0.00000,608.98067,0.00000,-1.05089,-1.05089
08/09/2019,1085164.38513,0.00000,608.98067,0.00000,-0.69540,-0.69540
08/08/2019,1092767.75203,0.00000,608.98067,0.00000,2.10281,2.10281
08/07/2019,1070249.59817,0.00001,608.98067,0.00000,0.11560,0.11560
08/06/2019,1068579.00813,0.00000,1043.13454,0.00000,0.83416,0.83416
08/05/2019,1059935.43440,0.00000,838.13487,0.00000,-3.32609,-3.32609
08/02/2019,1096431.64324,0.00000,838.13487,0.00000,-1.05911,-1.05911
08/01/2019,1108177.31980,0.00000,838.13487,0.00000,-0.21132,-0.21132
07/31/2019,1110525.83277,0.00000,838.13487,0.00000,0.12489,0.12489
07/30/2019,1109139.52625,0.00000,838.13487,0.00000,0.13157,0.13157
07/29/2019,1107681.07890,0.00000,838.13487,0.00000,-0.01079,-0.01079
07/26/2019,1107800.69258,0.00000,838.13487,0.00000,1.01677,1.01677
07/25/2019,1096641.86473,0.00000,838.13487,0.00000,-1.06219,-1.06219
07/24/2019,1108424.37285,0.00000,838.13487,0.00000,0.43799,0.43799
07/23/2019,1103587.15168,0.00000,838.13487,0.00000,0.46093,0.46093
07/22/2019,1098954.04481,0.00000,403.98100,0.00000,0.51010,0.51010
07/19/2019,1093374.67598,0.00000,403.98100,0.00000,-0.19761,-0.19761
07/18/2019,1095944.35848,0.00000,0.00000,0.00000,0.36406,0.36406
07/17/2019,1091968.96178,0.00000,0.00000,0.00000,-0.73403,-0.73403
07/16/2019,1100043.58535,0.00000,0.00000,0.00000,-0.87757,-0.87757
07/15/2019,1109782.70366,-0.00003,0.00000,0.00000,0.12138,0.12138
07/12/2019,1107776.65641,0.00000,660.63068,0.00000,0.79895,0.79895
07/11/2019,1098991.00472,0.00000,660.63068,0.00000,0.02870,0.02870
07/10/2019,1098675.50223,0.00000,660.63068,0.00000,0.61072,0.61072
07/09/2019,1092002.43704,0.00000,660.63068,0.00000,0.41726,0.41726
07/08/2019,1087462.14948,0.00000,660.63068,0.00000,-0.81887,-0.81887
07/05/2019,1096446.02314,0.00000,660.63068,0.00000,-0.08010,-0.08010
07/03/2019,1097325.45938,0.00000,660.63068,0.00000,0.53032,0.53032
07/02/2019,1091533.33405,0.00041,660.63068,0.00000,-0.19363,-0.19363
07/01/2019,1093262.35806,0.00000,1050.56282,0.00000,0.55537,0.55537
06/28/2019,1087218.48122,-0.00031,1050.56282,0.00000,0.65191,0.65191
