Client Name:  Marketocracy Capital Management, LLC
Folio Name:  CBUSC1
Folio Number:  9A1551500101
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1098720.48129,0.00000,0.00000,0.00000,0.07926,0.07926
08/29/2019,1097850.28946,0.00000,0.00000,0.00000,1.62957,1.62957
08/28/2019,1080246.96131,0.00000,0.00000,0.00000,1.12063,1.12063
08/27/2019,1068275.52117,0.00000,0.00000,0.00000,-0.14355,-0.14355
08/26/2019,1069811.28181,0.00000,0.00000,0.00000,0.92363,0.92363
08/23/2019,1060020.62094,0.00000,0.00000,0.00000,-3.09243,-3.09243
08/22/2019,1093847.10737,0.00005,0.00000,0.00000,-0.42136,-0.42136
08/21/2019,1098071.65588,0.00035,403.98100,0.00000,1.68812,1.68812
08/20/2019,1079630.92829,0.00000,608.98067,0.00000,-0.51286,-0.51286
08/19/2019,1085199.61504,0.00000,608.98067,0.00000,1.50835,1.50835
08/16/2019,1069065.16601,0.00000,608.98067,0.00000,1.29854,1.29854
08/15/2019,1055353.04248,0.00000,608.98067,0.00000,0.34398,0.34398
08/14/2019,1051733.14730,0.00000,608.98067,0.00000,-3.22229,-3.22229
08/13/2019,1086771.72447,0.00000,608.98067,0.00000,1.21166,1.21166
08/12/2019,1073754.11879,0.00000,608.98067,0.00000,-1.05089,-1.05089
08/09/2019,1085164.38513,0.00000,608.98067,0.00000,-0.69540,-0.69540
08/08/2019,1092767.75203,0.00000,608.98067,0.00000,2.10281,2.10281
08/07/2019,1070249.59817,0.00001,608.98067,0.00000,0.11560,0.11560
08/06/2019,1068579.00813,0.00000,1043.13454,0.00000,0.83416,0.83416
08/05/2019,1059935.43440,0.00000,838.13487,0.00000,-3.32609,-3.32609
08/02/2019,1096431.64324,0.00000,838.13487,0.00000,-1.05911,-1.05911
08/01/2019,1108177.31980,0.00000,838.13487,0.00000,-0.21132,-0.21132
07/31/2019,1110525.83277,0.00000,838.13487,0.00000,0.12489,0.12489
07/30/2019,1109139.52625,0.00000,838.13487,0.00000,0.13157,0.13157
