Client Name:  Marketocracy Capital Management, LLC
Folio Name:  PAUSC1
Folio Number:  9A1551500102
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,1089760.38823,-0.00002,0.00000,0.00000,0.97095,0.97095
03/29/2019,1079281.11996,0.00021,0.00000,0.00000,0.46052,0.46052
03/28/2019,1074064.81126,0.00000,268.77548,0.00000,0.59111,0.59111
03/27/2019,1067751.60922,0.00000,268.77548,0.00000,-0.35893,-0.35893
03/26/2019,1071598.91300,0.00000,268.77548,0.00000,0.98084,0.98084
03/25/2019,1061187.75769,0.00000,268.77548,0.00000,0.05246,0.05246
03/22/2019,1060631.21400,0.00007,268.77548,0.00000,-1.64554,-1.64554
03/21/2019,1078156.41235,0.00000,493.22684,0.00000,1.34329,1.34329
03/20/2019,1063859.06754,0.00000,493.22684,0.00000,-0.57326,-0.57326
03/19/2019,1069995.74701,0.00000,493.22684,0.00000,-0.50778,-0.50778
03/18/2019,1075459.17318,0.00000,493.22684,0.00000,0.33652,0.33652
03/15/2019,1071850.52411,-0.00002,493.22684,0.00000,0.37347,0.37347
03/14/2019,1067099.86564,0.00000,1253.85269,0.00000,0.02621,0.02621
03/13/2019,1067088.75227,0.00000,985.07721,0.00000,0.51605,0.51605
03/12/2019,1061605.27740,-0.00019,985.07721,0.00000,0.22283,0.22283
03/11/2019,1059054.53419,0.00074,1173.28619,0.00000,1.39201,1.39201
03/08/2019,1043987.95079,0.00000,1684.00374,0.00000,-0.41557,-0.41557
03/07/2019,1048351.55735,0.00000,1684.00374,0.00000,-0.82823,-0.82823
03/06/2019,1057584.51380,0.00000,1220.37664,0.00000,-0.73132,-0.73132
03/05/2019,1065384.76961,0.00000,1220.37664,0.00000,-0.07937,-0.07937
03/04/2019,1066231.99548,0.00000,1220.37664,0.00000,-0.37648,-0.37648
03/01/2019,1070265.92024,0.00012,1220.37664,0.00000,0.24256,0.24256
