Client Name:  Marketocracy Capital Management, LLC
Folio Name:  PAUSC1
Folio Number:  9A1551500102
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1050640.34575,0.00000,0.00000,0.00000,0.86679,0.86679
07/01/2020,1041611.74151,-0.00028,0.00000,0.00000,-0.77450,-0.77450
06/30/2020,1049344.68473,0.00016,397.27511,0.00000,1.13873,1.13873
06/29/2020,1037394.66529,0.00000,528.12222,0.00000,2.77809,2.77809
06/26/2020,1009339.59832,0.00000,528.12222,0.00000,-2.18893,-2.18893
06/25/2020,1031939.59164,0.00000,528.12222,0.00000,0.94690,0.94690
06/24/2020,1022254.83297,0.00000,528.12222,0.00000,-3.60849,-3.60849
06/23/2020,1060543.53383,0.00000,528.12222,0.00000,0.13438,0.13438
06/22/2020,1059119.53884,0.00000,528.12222,0.00000,0.22943,0.22943
06/19/2020,1056693.93113,0.00000,528.12222,0.00000,-0.45243,-0.45243
06/18/2020,1061498.81890,0.00000,528.12222,0.00000,-0.23206,-0.23206
06/17/2020,1063969.05845,0.00000,528.12222,0.00000,-1.20145,-1.20145
06/16/2020,1076913.95189,-0.00005,528.12222,0.00000,1.88642,1.88642
06/15/2020,1056752.90167,-0.00062,740.39787,0.00000,1.01390,1.01390
06/12/2020,1044787.29200,0.00008,2091.68008,0.00000,2.43535,2.43535
06/11/2020,1019616.99655,0.00000,2372.91258,0.00000,-7.67640,-7.67640
06/10/2020,1104592.09773,-0.00047,2372.91258,0.00000,-2.55924,-2.55924
06/09/2020,1133612.20001,0.00000,2426.74163,0.00000,-2.59416,-2.59416
06/08/2020,1163867.74745,0.00000,2426.74163,0.00000,2.60589,2.60589
06/05/2020,1134247.31611,0.00000,2426.74163,0.00000,2.09569,2.09569
06/04/2020,1111809.32158,0.00000,1532.49622,0.00000,0.86580,0.86580
06/03/2020,1102484.44089,-0.00041,1300.81321,0.00000,2.82282,2.82282
06/02/2020,1071661.33320,0.00000,1821.39412,0.00000,1.70197,1.70197
06/01/2020,1053696.77998,-0.00024,1821.39412,0.00000,1.49427,1.49427
