Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rweiler_FCGIX
Folio Number:  9A1551600T01
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1582761.58576,-0.00012,0.00000,0.00000,1.89286,1.89286
06/07/2019,1553358.61051,0.00004,0.00000,0.00000,2.31954,2.31954
06/06/2019,1518144.70171,0.00158,0.00000,0.00000,1.29701,1.29701
06/05/2019,1498706.35113,0.00000,0.00000,0.00000,2.10034,2.10034
06/04/2019,1467875.96049,0.00097,0.00000,0.00000,3.18057,3.18057
06/03/2019,1422628.28931,0.00000,0.00000,0.00000,-3.23155,-3.23155
05/31/2019,1470136.50027,0.00000,0.00000,0.00000,-2.22054,-2.22054
05/30/2019,1503522.79757,0.00000,0.00000,0.00000,-0.49522,-0.49522
05/29/2019,1511005.54809,-0.00042,0.00000,0.00000,-1.58838,-1.58838
05/28/2019,1535393.49160,0.00012,0.00000,0.00000,0.60237,0.60237
05/24/2019,1524426.23655,0.00003,1773.85881,0.00000,0.08447,0.08447
05/23/2019,1523138.15566,0.00000,1773.85881,0.00000,-1.63649,-1.63649
05/22/2019,1548508.35859,0.00837,1773.85881,0.00000,-1.25733,-1.25733
05/21/2019,1568248.70437,-0.00806,1773.85881,0.00000,1.58746,1.58746
05/20/2019,1543714.71748,0.00000,1773.85881,0.00000,-1.37527,-1.37527
05/17/2019,1565265.67484,0.00094,1773.85881,0.00000,-3.43213,-3.43213
05/16/2019,1620959.96425,0.00132,1773.85881,0.00000,-0.33656,-0.33656
05/15/2019,1626439.87463,0.00115,1773.85881,0.00000,1.61764,1.61764
05/14/2019,1600520.59037,-0.00206,1773.85881,0.00000,1.98601,1.98601
05/13/2019,1569318.53494,-0.00166,1773.85881,0.00000,-2.72945,-2.72945
05/10/2019,1615177.80047,0.00329,0.00000,0.00000,0.75877,0.75877
05/09/2019,1602726.23475,-0.00145,288.43800,0.00000,0.03772,0.03772
05/08/2019,1602121.84143,0.00008,288.43800,0.00000,-0.23619,-0.23619
05/07/2019,1605915.58488,0.00008,288.43800,0.00000,-2.00098,-2.00098
05/06/2019,1638711.63965,0.00132,288.43800,0.00000,-0.11986,-0.11986
05/03/2019,1640678.49684,0.00000,288.43800,0.00000,2.97990,2.97990
05/02/2019,1593194.27391,0.00000,288.43800,0.00000,0.19106,0.19106
05/01/2019,1590155.57855,0.00000,288.43800,0.00000,-0.22785,-0.22785
04/30/2019,1593787.70671,0.00000,288.43800,0.00000,-0.29241,-0.29241
04/29/2019,1598462.56518,-0.00067,288.43800,0.00000,1.26013,1.26013
04/26/2019,1578566.91204,0.00000,288.43800,0.00000,-0.86925,-0.86925
04/25/2019,1592411.43411,0.00429,288.43800,0.00000,-0.47583,-0.47583
04/24/2019,1600026.15139,0.00000,288.43800,0.00000,-0.94992,-0.94992
04/23/2019,1615373.57992,-0.00031,288.43800,0.00000,0.70393,0.70393
04/22/2019,1604079.87871,0.00122,288.43800,0.00000,1.39696,1.39696
04/18/2019,1581976.23415,0.00000,288.43800,0.00000,1.60536,1.60536
04/17/2019,1556976.57591,0.00073,288.43800,0.00000,0.17404,0.17404
04/16/2019,1554271.03946,0.00000,288.43800,0.00000,1.72799,1.72799
04/15/2019,1527864.65759,0.00000,288.43800,0.00000,-1.87166,-1.87166
04/12/2019,1557012.07127,-0.00664,288.43800,0.00000,1.14494,1.14494
04/11/2019,1537527.13939,0.00000,2145.03113,0.00000,-2.96419,-2.96419
04/10/2019,1584560.10857,0.00000,2145.03113,0.00000,2.03879,2.03879
04/09/2019,1552856.92161,0.00000,2145.03113,0.00000,-1.04976,-1.04976
04/08/2019,1569353.94993,0.00000,2145.03113,0.00000,0.46624,0.46624
04/05/2019,1562061.00862,0.00000,2145.03113,0.00000,1.72129,1.72129
04/04/2019,1535592.10353,0.00000,2145.03113,0.00000,-2.89085,-2.89085
04/03/2019,1581369.09323,-0.00194,2145.03113,0.00000,0.71056,0.71056
04/02/2019,1570196.60862,0.00000,2145.03113,0.00000,1.99654,1.99654
04/01/2019,1539418.63492,0.00000,2145.03113,0.00000,0.26909,0.26909
03/29/2019,1535281.52837,0.00000,2145.03113,0.00000,1.64016,1.64016
03/28/2019,1512328.80878,-0.00718,288.43800,0.00000,-0.14123,-0.14123
03/27/2019,1514206.52452,-0.00059,550.06790,0.00000,-1.90844,-1.90844
03/26/2019,1543677.10128,0.00000,550.06790,0.00000,0.15960,0.15960
03/25/2019,1541216.50522,0.00702,550.06790,0.00000,-0.30237,-0.30237
03/22/2019,1545892.45887,0.00000,550.06790,0.00000,-2.22615,-2.22615
03/21/2019,1581102.42168,0.00000,550.06790,0.00000,0.57406,0.57406
03/20/2019,1572074.58894,0.00000,550.06790,0.00000,0.47393,0.47393
03/19/2019,1564656.63203,0.00000,550.06790,0.00000,0.76287,0.76287
03/18/2019,1552806.58057,0.00000,550.06790,0.00000,0.28447,0.28447
03/15/2019,1548400.22671,0.00000,550.06790,0.00000,0.62647,0.62647
03/14/2019,1538756.87076,0.00000,550.06790,0.00000,-0.14144,-0.14144
03/13/2019,1540937.17140,0.00075,550.06790,0.00000,-0.13887,-0.13887
03/12/2019,1543080.88727,0.00574,550.06790,0.00000,0.32522,0.32522
03/11/2019,1538076.97918,0.00000,550.06790,0.00000,1.21181,1.21181
03/08/2019,1519655.00551,0.00000,550.06790,0.00000,0.33620,0.33620
