Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rweiler_FCGIX
Folio Number:  9A1551600T01
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1465584.02776,0.00000,0.00000,0.00000,0.40543,0.40543
08/29/2019,1459666.08023,0.00080,0.00000,0.00000,1.92016,1.92016
08/28/2019,1432166.24894,0.00240,0.00000,0.00000,-0.10490,-0.10490
08/27/2019,1433670.11511,-0.00088,0.00000,0.00000,-2.10388,-2.10388
08/26/2019,1464481.09309,0.00000,0.00000,0.00000,0.77357,0.77357
08/23/2019,1453239.29699,0.00074,0.00000,0.00000,-2.18815,-2.18815
08/22/2019,1485749.69819,0.00000,0.00000,0.00000,-1.34358,-1.34358
08/21/2019,1505983.86859,-0.00045,0.00000,0.00000,-0.42713,-0.42713
08/20/2019,1512443.97119,0.00000,0.00000,0.00000,0.07743,0.07743
08/19/2019,1511273.85554,0.00137,0.00000,0.00000,-0.63125,-0.63125
08/16/2019,1520874.38176,0.00000,0.00000,0.00000,1.93414,1.93414
08/15/2019,1492016.71510,0.00000,0.00000,0.00000,-3.06061,-3.06061
08/14/2019,1539123.23820,0.00000,0.00000,0.00000,-3.57791,-3.57791
08/13/2019,1596235.16895,0.00000,0.00000,0.00000,0.84743,0.84743
08/12/2019,1582821.81078,0.00000,0.00000,0.00000,-0.62557,-0.62557
08/09/2019,1592785.81160,0.00059,0.00000,0.00000,-0.18778,-0.18778
08/08/2019,1595782.36926,0.00000,0.00000,0.00000,0.95959,0.95959
08/07/2019,1580614.98490,-0.00017,0.00000,0.00000,1.03975,1.03975
08/06/2019,1564349.59101,0.00079,0.00000,0.00000,1.69987,1.69987
08/05/2019,1538202.19241,0.00000,0.00000,0.00000,-1.81692,-1.81692
08/02/2019,1566667.26902,0.00061,0.00000,0.00000,1.53713,1.53713
08/01/2019,1542950.09176,0.00000,0.00000,0.00000,-1.08352,-1.08352
07/31/2019,1559851.44829,0.00000,0.00000,0.00000,-0.23044,-0.23044
07/30/2019,1563454.22028,0.00000,0.00000,0.00000,-0.32332,-0.32332
