Client Name:  Marketocracy Capital Management, LLC
Folio Name:  investmentpro_IMF
Folio Number:  9A1551700L01
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,1852771.41820,0.00000,0.00000,0.00000,0.61827,0.61827
02/14/2019,1841386.66269,0.00075,0.00000,0.00000,0.54511,0.54511
02/13/2019,1830654.63055,0.00000,748.87699,0.00000,-0.71151,-0.71151
02/12/2019,1843778.62113,0.00000,748.87699,0.00000,2.48947,2.48947
02/11/2019,1798974.95204,0.00000,748.87699,0.00000,-0.24607,-0.24607
02/08/2019,1803414.41618,0.00000,748.87699,0.00000,1.18461,1.18461
02/07/2019,1783041.28467,0.00000,0.00000,0.00000,-2.16880,-2.16880
02/06/2019,1822569.17511,0.00000,0.00000,0.00000,0.22796,0.22796
02/05/2019,1818423.96939,0.00000,0.00000,0.00000,0.33951,0.33951
02/04/2019,1812271.09738,0.00000,0.00000,0.00000,0.60317,0.60317
02/01/2019,1801405.63030,0.00000,0.00000,0.00000,-0.89872,-0.89872
01/31/2019,1817742.11322,0.00000,0.00000,0.00000,2.93413,2.93413
01/30/2019,1765927.49681,0.00000,0.00000,0.00000,3.33329,3.33329
01/29/2019,1708962.80810,0.00000,0.00000,0.00000,-2.04302,-2.04302
01/28/2019,1744605.50154,0.00000,0.00000,0.00000,-3.17144,-3.17144
01/25/2019,1801746.81531,0.00000,0.00000,0.00000,1.37965,1.37965
01/24/2019,1777217.99094,0.00000,9.26516,0.00000,1.10505,1.10505
01/23/2019,1757793.46456,0.00000,9.26516,0.00000,0.20878,0.20878
01/22/2019,1754131.11484,0.00000,9.26516,0.00000,-2.02322,-2.02322
01/18/2019,1790354.06047,0.00000,9.26516,0.00000,1.28047,1.28047
01/17/2019,1767718.82390,0.00000,9.26516,0.00000,1.39800,1.39800
01/16/2019,1743346.63228,0.00000,9.26516,0.00000,0.46616,0.46616
01/15/2019,1735257.48601,0.00000,9.26516,0.00000,0.55876,0.55876
