Client Name:  Marketocracy Capital Management, LLC
Folio Name:  investmentpro_IMF
Folio Number:  9A1551700L01
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1990961.32457,0.00000,0.00000,0.00000,-0.54663,-0.54663
08/29/2019,2001904.28090,0.00000,0.00000,0.00000,1.94631,1.94631
08/28/2019,1963684.86180,0.00000,0.00000,0.00000,0.72967,0.72967
08/27/2019,1949460.24042,0.00000,0.00000,0.00000,-1.54049,-1.54049
08/26/2019,1979961.24790,0.00000,0.00000,0.00000,1.21390,1.21390
08/23/2019,1956214.81347,-0.00155,0.00000,0.00000,-2.78605,-2.78605
08/22/2019,2012277.25198,0.00000,0.59781,0.00000,-0.79314,-0.79314
08/21/2019,2028365.07779,0.00000,0.59781,0.00000,1.56028,1.56028
08/20/2019,1997203.05375,0.00000,0.59781,0.00000,-0.13342,-0.13342
08/19/2019,1999871.30673,0.00000,0.59781,0.00000,2.09215,2.09215
08/16/2019,1958888.48137,0.00000,0.59781,0.00000,2.59310,2.59310
08/15/2019,1909376.35455,0.00084,0.59781,0.00000,-0.88657,-0.88657
08/14/2019,1925659.22740,0.00000,797.09879,0.00000,-2.13114,-2.13114
08/13/2019,1967608.74485,0.00000,797.09879,0.00000,2.61348,2.61348
08/12/2019,1917475.17328,0.00000,797.09879,0.00000,-1.32456,-1.32456
08/09/2019,1943224.90909,0.00000,797.09879,0.00000,-4.06092,-4.06092
08/08/2019,2026308.18602,0.00000,0.59781,0.00000,3.36576,3.36576
08/07/2019,1960328.86813,0.00000,0.00000,0.00000,-0.25732,-0.25732
08/06/2019,1965386.18712,0.00000,0.00000,0.00000,1.39551,1.39551
08/05/2019,1938336.51163,0.00000,0.00000,0.00000,-3.56463,-3.56463
08/02/2019,2009985.00891,0.00000,0.00000,0.00000,-1.87215,-1.87215
08/01/2019,2048332.77950,0.00000,0.00000,0.00000,-1.63628,-1.63628
07/31/2019,2082406.72381,0.00000,0.00000,0.00000,-0.73858,-0.73858
07/30/2019,2097901.46598,0.00000,0.00000,0.00000,0.58092,0.58092
