Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cwilliams_CWMF
Folio Number:  9A1552100T01
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,43963568.06274,0.00000,0.00000,0.00000,1.12130,1.12130
03/29/2019,43476072.95344,-0.00036,0.00000,0.00000,0.41136,0.41136
03/28/2019,43284465.00594,0.00000,13496.24481,0.00000,0.74103,0.74103
03/27/2019,42965974.34294,0.00000,13496.24481,0.00000,-0.74199,-0.74199
03/26/2019,43287260.37460,0.00000,13496.24481,0.00000,1.15585,1.15585
03/25/2019,42792486.17134,0.00000,13496.24481,0.00000,-0.12814,-0.12814
03/22/2019,42847409.66303,-0.00003,13496.24481,0.00000,-1.89682,-1.89682
03/21/2019,43675300.73241,0.00000,14317.24194,0.00000,1.56853,1.56853
03/20/2019,43000597.02500,-0.00012,14317.24194,0.00000,-0.20277,-0.20277
03/19/2019,43093053.88616,0.00000,9258.07535,0.00000,0.27621,0.27621
03/18/2019,42974327.25710,0.00000,9258.07535,0.00000,-0.05932,-0.05932
03/15/2019,42999841.75680,-0.00020,9258.07535,0.00000,0.70428,0.70428
03/14/2019,42697052.76435,0.00000,11261.40446,0.00000,-0.24636,-0.24636
03/13/2019,42803188.71691,0.00000,10601.56257,0.00000,0.38829,0.38829
03/12/2019,42638409.00144,-0.00077,9780.56544,0.00000,0.28792,0.28792
03/11/2019,42507859.38276,0.00000,17890.86458,0.00000,1.42352,1.42352
03/08/2019,41910993.89221,0.00000,17890.86458,0.00000,0.15453,0.15453
03/07/2019,41846302.90932,-0.00005,17890.86458,0.00000,-0.24575,-0.24575
03/06/2019,41948501.45632,0.00000,18826.93670,0.00000,-1.31805,-1.31805
03/05/2019,42509037.90281,0.00000,18826.93670,0.00000,-0.35561,-0.35561
03/04/2019,42660810.63047,0.00000,18826.93670,0.00000,-1.04337,-1.04337
03/01/2019,43110811.09273,0.00000,18826.93670,0.00000,0.51369,0.51369
