Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cwilliams_CWMF
Folio Number:  9A1552100T01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,45391217.66822,0.00000,0.00000,0.00000,0.05350,0.05350
07/01/2020,45366946.41930,0.00000,0.00000,0.00000,-0.29514,-0.29514
06/30/2020,45501240.32445,0.00001,0.00000,0.00000,1.40523,1.40523
06/29/2020,44869297.14007,0.00000,1408.58296,0.00000,1.15777,1.15777
06/26/2020,44355744.57513,0.00018,1408.58296,0.00000,-1.43680,-1.43680
06/25/2020,44989180.87399,0.00000,14588.35391,0.00000,1.08720,1.08720
06/24/2020,44505162.38438,0.00000,14588.35391,0.00000,-3.28651,-3.28651
06/23/2020,46018026.91105,0.00000,14588.35391,0.00000,0.74182,0.74182
06/22/2020,45679062.45878,0.00000,14588.35391,0.00000,0.24863,0.24863
06/19/2020,45565734.99196,-0.00055,14588.35391,0.00000,-0.00681,-0.00681
06/18/2020,45524188.20543,-0.00004,59239.12735,0.00000,-0.03673,-0.03673
06/17/2020,45536625.58895,0.00000,63552.93038,0.00000,-0.39913,-0.39913
06/16/2020,45719359.67585,0.00000,63552.93038,0.00000,1.46296,1.46296
06/15/2020,45059231.07291,0.00000,63552.93038,0.00000,1.62365,1.62365
06/12/2020,44384359.82937,0.00000,17493.57398,0.00000,2.77722,2.77722
06/11/2020,43184542.60478,0.00016,17493.57398,0.00000,-6.85800,-6.85800
06/10/2020,46352805.91988,0.00029,30175.76493,0.00000,-0.84026,-0.84026
06/09/2020,46730182.00394,-0.00024,45841.27894,0.00000,-1.39926,-1.39926
06/08/2020,47387486.59046,0.00000,52345.49242,0.00000,2.00008,2.00008
06/05/2020,46457255.36988,0.00000,52345.49242,0.00000,2.30333,2.30333
06/04/2020,45410107.03078,0.00028,52345.49242,0.00000,-0.33786,-0.33786
06/03/2020,45551303.76563,-0.00047,65270.51239,0.00000,2.32217,2.32217
06/02/2020,44531477.48702,0.00000,49841.93396,0.00000,1.26701,1.26701
06/01/2020,43973696.59227,0.00000,49841.93396,0.00000,1.05468,1.05468
