Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_RNM
Folio Number:  9A1553100P01
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,1791668.48664,0.00000,0.00000,0.00000,-0.09637,-0.09637
06/27/2019,1793396.70373,0.00000,0.00000,0.00000,1.60652,1.60652
06/26/2019,1765040.90895,0.00056,0.00000,0.00000,1.70835,1.70835
06/25/2019,1735073.93392,0.00000,320.36921,0.00000,-0.92244,-0.92244
06/24/2019,1751230.96613,0.00000,320.36921,0.00000,-0.98456,-0.98456
06/21/2019,1768647.50438,0.00000,320.36921,0.00000,-1.46691,-1.46691
06/20/2019,1794982.90234,0.00000,320.36921,0.00000,-0.02506,-0.02506
06/19/2019,1795432.91172,0.00000,320.36921,0.00000,0.93784,0.93784
06/18/2019,1778748.12855,0.00000,320.36921,0.00000,2.39908,2.39908
06/17/2019,1737066.75048,0.00000,320.36921,0.00000,-0.04705,-0.04705
06/14/2019,1737884.51076,0.00041,320.36921,0.00000,-1.73103,-1.73103
06/13/2019,1768243.10367,0.00000,580.56746,0.00000,0.11094,0.11094
06/12/2019,1766282.98086,0.00000,580.56746,0.00000,-0.69840,-0.69840
06/11/2019,1778709.48226,0.00000,580.56746,0.00000,0.15257,0.15257
06/10/2019,1775998.93659,0.00057,580.56746,0.00000,2.41458,2.41458
06/07/2019,1734113.40038,-0.00010,580.56746,0.00000,1.28428,1.28428
06/06/2019,1712105.75944,0.00000,592.38666,0.00000,0.90920,0.90920
06/05/2019,1696994.64139,0.00000,272.01745,0.00000,0.45309,0.45309
06/04/2019,1689339.19251,0.00000,272.01745,0.00000,3.92046,3.92046
06/03/2019,1625597.68608,0.00009,272.01745,0.00000,-0.37782,-0.37782
05/31/2019,1631656.59893,0.00000,379.27178,0.00000,-1.85232,-1.85232
05/30/2019,1662457.71358,0.00000,379.27178,0.00000,-0.37448,-0.37448
05/29/2019,1668708.19350,0.00000,379.27178,0.00000,-0.16464,-0.16464
05/28/2019,1671460.75973,0.00000,379.27178,0.00000,0.43518,0.43518
