Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_RNM
Folio Number:  9A1553100P01
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1787599.51741,0.00000,0.00000,0.00000,0.54561,0.54561
08/29/2019,1777899.15571,0.00000,0.00000,0.00000,1.89313,1.89313
08/28/2019,1744866.63008,0.00000,0.00000,0.00000,0.81214,0.81214
08/27/2019,1730809.98742,0.00000,0.00000,0.00000,-0.37145,-0.37145
08/26/2019,1737263.01664,0.00000,0.00000,0.00000,1.13563,1.13563
08/23/2019,1717755.58831,0.00000,0.00000,0.00000,-3.20238,-3.20238
08/22/2019,1774584.56719,0.00000,0.00000,0.00000,0.02864,0.02864
08/21/2019,1774076.51516,0.00000,0.00000,0.00000,0.67335,0.67335
08/20/2019,1762210.71480,0.00000,0.00000,0.00000,-0.92537,-0.92537
08/19/2019,1778670.07969,0.00000,0.00000,0.00000,1.25382,1.25382
08/16/2019,1756644.98335,0.00000,0.00000,0.00000,2.61686,2.61686
08/15/2019,1711848.34256,0.00000,0.00000,0.00000,-0.10097,-0.10097
08/14/2019,1713578.52129,0.00000,0.00000,0.00000,-3.20776,-3.20776
08/13/2019,1770367.68765,0.00000,0.00000,0.00000,1.63177,1.63177
08/12/2019,1741943.19580,0.00000,0.00000,0.00000,-0.46598,-0.46598
08/09/2019,1750098.23383,0.00000,0.00000,0.00000,-2.45933,-2.45933
08/08/2019,1794224.18849,0.00000,0.00000,0.00000,4.75470,4.75470
08/07/2019,1712786.34894,0.00000,0.00000,0.00000,-0.12269,-0.12269
08/06/2019,1714890.26486,0.00000,0.00000,0.00000,0.67107,0.67107
08/05/2019,1703458.87707,0.00000,0.00000,0.00000,-3.38985,-3.38985
08/02/2019,1763229.75675,0.00000,0.00000,0.00000,-0.72082,-0.72082
08/01/2019,1776031.73935,0.00000,0.00000,0.00000,-1.82885,-1.82885
07/31/2019,1809117.87404,0.00000,0.00000,0.00000,-2.70555,-2.70555
07/30/2019,1859425.62223,0.00000,0.00000,0.00000,0.25605,0.25605
