Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_RM
Folio Number:  9A1553100P02
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1923833.59075,0.00000,0.00000,0.00000,0.72067,0.72067
06/07/2019,1910068.39491,0.00000,0.00000,0.00000,2.17323,2.17323
06/06/2019,1869441.18475,0.00000,0.00000,0.00000,1.14891,1.14891
06/05/2019,1848206.99161,0.00000,0.00000,0.00000,0.46425,0.46425
06/04/2019,1839666.29043,0.00000,0.00000,0.00000,3.92274,3.92274
06/03/2019,1770225.02625,0.00000,0.00000,0.00000,-0.92553,-0.92553
05/31/2019,1786761.99827,0.00000,0.00000,0.00000,-2.03412,-2.03412
05/30/2019,1823861.59682,0.00000,0.00000,0.00000,0.38234,0.38234
05/29/2019,1816914.73558,0.00000,0.00000,0.00000,-1.15095,-1.15095
05/28/2019,1838069.91761,0.00000,0.00000,0.00000,1.31425,1.31425
05/24/2019,1814226.52615,0.00000,0.00000,0.00000,0.74377,0.74377
05/23/2019,1800832.56283,0.00000,0.00000,0.00000,-2.21414,-2.21414
05/22/2019,1841608.40447,0.00000,0.00000,0.00000,-0.55661,-0.55661
05/21/2019,1851916.43587,0.00000,0.00000,0.00000,0.93975,0.93975
05/20/2019,1834675.08404,0.00000,0.00000,0.00000,-1.43060,-1.43060
05/17/2019,1861302.92354,0.00000,0.00000,0.00000,-1.53427,-1.53427
05/16/2019,1890305.26271,-0.00007,0.00000,0.00000,0.20674,0.20674
05/15/2019,1885824.66572,0.00000,580.58233,0.00000,1.17146,1.17146
05/14/2019,1863982.07697,0.00000,580.58233,0.00000,2.16920,2.16920
05/13/2019,1824394.66075,0.00000,580.58233,0.00000,-4.25837,-4.25837
05/10/2019,1905565.40454,-0.00004,580.58233,0.00000,-1.42938,-1.42938
05/09/2019,1933349.01913,0.00000,438.06857,0.00000,-1.43484,-1.43484
05/08/2019,1961499.61073,0.00000,438.06857,0.00000,0.44391,0.44391
05/07/2019,1952828.81932,0.00000,438.06857,0.00000,-1.86184,-1.86184
05/06/2019,1989885.46331,-0.00003,438.06857,0.00000,-1.28525,-1.28525
05/03/2019,2015527.67415,0.00000,709.55252,0.00000,1.47508,1.47508
05/02/2019,1986218.82332,0.00000,709.55252,0.00000,0.79352,0.79352
05/01/2019,1971285.82718,0.00003,0.00000,0.00000,-0.26201,-0.26201
04/30/2019,1976275.76366,0.00000,188.65752,0.00000,-1.04780,-1.04780
04/29/2019,1997204.50470,0.00000,188.65752,0.00000,1.23497,1.23497
04/26/2019,1972838.19741,0.00000,188.65752,0.00000,0.13890,0.13890
04/25/2019,1970101.56262,0.00000,188.65752,0.00000,-0.35009,-0.35009
04/24/2019,1977023.51805,0.00000,188.65752,0.00000,-0.40415,-0.40415
04/23/2019,1985046.86754,0.00000,188.65752,0.00000,1.09039,1.09039
04/22/2019,1963633.58143,0.00000,188.65752,0.00000,1.32686,1.32686
04/18/2019,1938106.36013,0.00000,0.00000,0.00000,-0.65046,-0.65046
04/17/2019,1950795.51271,0.00000,0.00000,0.00000,-1.11948,-1.11948
04/16/2019,1972881.55750,0.00000,0.00000,0.00000,0.00099,0.00099
04/15/2019,1972862.10930,0.00000,0.00000,0.00000,-0.72493,-0.72493
04/12/2019,1987268.39715,0.00000,0.00000,0.00000,0.56186,0.56186
04/11/2019,1976165.05636,0.00000,0.00000,0.00000,-0.38990,-0.38990
04/10/2019,1983900.28723,0.00000,0.00000,0.00000,1.28508,1.28508
04/09/2019,1958729.09197,0.00000,0.00000,0.00000,-1.23489,-1.23489
04/08/2019,1983219.58678,0.00000,0.00000,0.00000,-0.32747,-0.32747
04/05/2019,1989735.39510,0.00000,0.00000,0.00000,-0.21379,-0.21379
04/04/2019,1993998.43125,0.00000,0.00000,0.00000,-0.43276,-0.43276
04/03/2019,2002665.16590,0.00000,0.00000,0.00000,1.37945,1.37945
04/02/2019,1975415.30033,0.00000,0.00000,0.00000,0.33728,0.33728
04/01/2019,1968774.92433,-0.00008,0.00000,0.00000,1.81720,1.81720
03/29/2019,1933097.40635,-0.00010,539.55956,0.00000,0.82574,0.82574
03/28/2019,1917035.67904,0.00046,765.16475,0.00000,1.99693,1.99693
03/27/2019,1878905.02266,0.00000,1348.56099,0.00000,-1.63873,-1.63873
03/26/2019,1910230.61273,0.00000,1348.56099,0.00000,0.30673,0.30673
03/25/2019,1904385.21149,-0.00007,1348.56099,0.00000,-2.17166,-2.17166
03/22/2019,1946254.13732,0.00000,1784.35166,0.00000,-3.98161,-3.98161
03/21/2019,2027033.70135,0.00000,1784.35166,0.00000,2.63710,2.63710
03/20/2019,1974906.34539,0.00000,1784.35166,0.00000,-0.86083,-0.86083
03/19/2019,1992069.96850,0.00000,1784.35166,0.00000,1.03376,1.03376
03/18/2019,1971669.14651,0.00000,1784.35166,0.00000,-0.06608,-0.06608
03/15/2019,1972973.99103,0.00000,1784.35166,0.00000,1.72190,1.72190
03/14/2019,1939546.19798,0.00000,1784.35166,0.00000,0.02422,0.02422
03/13/2019,1940043.83964,0.00000,816.59929,0.00000,-0.00046,-0.00046
03/12/2019,1940052.68242,0.00000,816.59929,0.00000,0.91271,0.91271
03/11/2019,1922498.30598,0.00000,816.59929,0.00000,2.99312,2.99312
03/08/2019,1866604.18965,0.00000,816.59929,0.00000,-1.26936,-1.26936
