Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_RM
Folio Number:  9A1553100P02
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1988065.19917,0.00000,0.00000,0.00000,-0.34453,-0.34453
08/29/2019,1994938.36751,0.00000,0.00000,0.00000,1.71335,1.71335
08/28/2019,1961333.82089,0.00000,0.00000,0.00000,0.78047,0.78047
08/27/2019,1946144.79674,0.00000,0.00000,0.00000,-1.17341,-1.17341
08/26/2019,1969252.17381,0.00000,0.00000,0.00000,1.52744,1.52744
08/23/2019,1939625.47917,0.00000,0.00000,0.00000,-3.90922,-3.90922
08/22/2019,2018534.36264,0.00000,0.00000,0.00000,-0.03143,-0.03143
08/21/2019,2019168.89862,0.00000,0.00000,0.00000,1.53697,1.53697
08/20/2019,1988604.69072,0.00000,0.00000,0.00000,-0.83196,-0.83196
08/19/2019,2005287.92688,0.00000,0.00000,0.00000,1.35074,1.35074
08/16/2019,1978562.68101,0.00000,0.00000,0.00000,3.00556,3.00556
08/15/2019,1920830.88463,-0.00118,0.00000,0.00000,-1.34401,-1.34401
08/14/2019,1946415.54423,0.00000,583.22269,0.00000,-3.82044,-3.82044
08/13/2019,2023754.05846,0.00000,583.22269,0.00000,1.61489,1.61489
08/12/2019,1991582.73655,0.00000,583.22269,0.00000,-2.17140,-2.17140
08/09/2019,2035800.81466,0.00000,583.22269,0.00000,-1.13614,-1.13614
08/08/2019,2059786.00307,0.00000,0.00000,0.00000,4.13179,4.13179
08/07/2019,1978056.86664,0.00000,0.00000,0.00000,0.23966,0.23966
08/06/2019,1973327.66174,0.00000,0.00000,0.00000,0.68556,0.68556
08/05/2019,1959891.44259,0.00004,0.00000,0.00000,-4.14703,-4.14703
08/02/2019,2044354.25160,0.00000,330.92955,0.00000,-0.71877,-0.71877
08/01/2019,2059157.16910,0.00009,330.92955,0.00000,-1.76953,-1.76953
07/31/2019,2095855.65774,0.00000,732.09087,0.00000,-1.89774,-1.89774
07/30/2019,2136413.10321,0.00000,732.09087,0.00000,1.24328,1.24328
