Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_TOPRM
Folio Number:  9A1553100P03
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,1822584.91860,0.00000,0.00000,0.00000,1.38206,1.38206
03/29/2019,1797739.06599,0.00000,0.00000,0.00000,0.84653,0.84653
03/28/2019,1782648.38162,0.00012,0.00000,0.00000,1.67383,1.67383
03/27/2019,1752822.67688,0.00000,478.35890,0.00000,-1.43246,-1.43246
03/26/2019,1778303.04060,0.00000,478.35890,0.00000,0.39273,0.39273
03/25/2019,1771344.62699,0.00014,478.35890,0.00000,-1.68474,-1.68474
03/22/2019,1801342.30579,-0.00052,842.78276,0.00000,-3.85531,-3.85531
03/21/2019,1873510.70302,0.00000,940.23433,0.00000,2.59168,2.59168
03/20/2019,1826158.19643,0.00000,940.23433,0.00000,-0.85077,-0.85077
03/19/2019,1841835.90439,0.00000,940.23433,0.00000,1.34578,1.34578
03/18/2019,1817365.56485,0.00000,940.23433,0.00000,1.02324,1.02324
03/15/2019,1798948.43580,0.00000,940.23433,0.00000,1.36998,1.36998
03/14/2019,1774623.63982,0.00000,940.23433,0.00000,-0.18105,-0.18105
03/13/2019,1778322.48307,0.00000,461.87543,0.00000,0.88370,0.88370
03/12/2019,1762741.07082,0.00000,461.87543,0.00000,0.81041,0.81041
03/11/2019,1748566.79252,0.00000,461.87543,0.00000,3.31617,3.31617
03/08/2019,1692427.62933,0.00000,461.87543,0.00000,-0.98476,-0.98476
03/07/2019,1709628.74110,0.00000,97.45157,0.00000,-0.95016,-0.95016
03/06/2019,1726029.62669,0.00000,97.45157,0.00000,-1.71372,-1.71372
03/05/2019,1756126.46244,0.00000,97.45157,0.00000,0.78742,0.78742
03/04/2019,1742405.70955,0.00001,97.45157,0.00000,0.50140,0.50140
03/01/2019,1733712.42646,0.00000,97.45157,0.00000,1.28523,1.28523
