Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_TOPRM
Folio Number:  9A1553100P03
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1840824.03560,0.00000,0.00000,0.00000,-0.07043,-0.07043
08/29/2019,1842121.41085,0.00000,0.00000,0.00000,1.78631,1.78631
08/28/2019,1809792.93418,0.00000,0.00000,0.00000,0.74243,0.74243
08/27/2019,1796455.52713,0.00000,0.00000,0.00000,-1.18995,-1.18995
08/26/2019,1818089.83775,0.00000,0.00000,0.00000,1.24145,1.24145
08/23/2019,1795795.97523,0.00000,0.00000,0.00000,-3.69385,-3.69385
08/22/2019,1864674.24546,0.00000,0.00000,0.00000,-0.67883,-0.67883
08/21/2019,1877418.74880,0.00000,0.00000,0.00000,0.97263,0.97263
08/20/2019,1859334.21555,0.00000,0.00000,0.00000,-0.29630,-0.29630
08/19/2019,1864859.75824,0.00000,0.00000,0.00000,1.15271,1.15271
08/16/2019,1843608.21962,0.00000,0.00000,0.00000,2.53154,2.53154
08/15/2019,1798088.91043,0.00000,0.00000,0.00000,-0.28627,-0.28627
08/14/2019,1803250.98858,0.00000,0.00000,0.00000,-3.05320,-3.05320
08/13/2019,1860041.77721,0.00000,0.00000,0.00000,1.63331,1.63331
08/12/2019,1830149.79326,0.00000,0.00000,0.00000,-1.93027,-1.93027
08/09/2019,1866171.92911,0.00000,0.00000,0.00000,-0.73288,-0.73288
08/08/2019,1879949.62741,0.00000,0.00000,0.00000,4.55719,4.55719
08/07/2019,1798010.87756,0.00000,0.00000,0.00000,0.87915,0.87915
08/06/2019,1782341.40060,0.00000,0.00000,0.00000,1.34477,1.34477
08/05/2019,1758691.04076,0.00000,0.00000,0.00000,-3.45528,-3.45528
08/02/2019,1821633.60191,0.00000,0.00000,0.00000,-0.85512,-0.85512
08/01/2019,1837345.14659,0.00007,0.00000,0.00000,-1.50041,-1.50041
07/31/2019,1864917.73182,0.00000,415.01292,0.00000,-2.66730,-2.66730
07/30/2019,1916035.11839,0.00000,415.01292,0.00000,0.26532,0.26532
