Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_NAM
Folio Number:  9A1553100P04
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,1368789.24770,0.00000,0.00000,0.00000,-0.90422,-0.90422
08/01/2019,1381279.06206,0.00000,0.00000,0.00000,-1.63771,-1.63771
07/31/2019,1404277.07989,0.00000,0.00000,0.00000,-2.94572,-2.94572
07/30/2019,1446898.66994,0.00000,0.00000,0.00000,0.56189,0.56189
07/29/2019,1438814.12710,0.00000,0.00000,0.00000,-0.63991,-0.63991
07/26/2019,1448080.54130,0.00000,0.00000,0.00000,0.15089,0.15089
07/25/2019,1445898.82074,0.00000,0.00000,0.00000,-1.41706,-1.41706
07/24/2019,1466682.66373,0.00000,0.00000,0.00000,1.88430,1.88430
07/23/2019,1439557.07786,0.00000,0.00000,0.00000,0.58172,0.58172
07/22/2019,1431231.35523,0.00000,0.00000,0.00000,1.01645,1.01645
07/19/2019,1416829.92868,0.00000,0.00000,0.00000,0.05744,0.05744
07/18/2019,1416016.50535,0.00000,0.00000,0.00000,0.32843,0.32843
07/17/2019,1411381.06958,0.00000,0.00000,0.00000,-0.02034,-0.02034
07/16/2019,1411668.17254,0.00000,0.00000,0.00000,-1.01909,-1.01909
07/15/2019,1426202.42690,0.00000,0.00000,0.00000,0.50281,0.50281
07/12/2019,1419067.23787,0.00000,0.00000,0.00000,0.27694,0.27694
07/11/2019,1415148.11311,0.00000,0.00000,0.00000,-0.49588,-0.49588
07/10/2019,1422200.50401,0.00000,0.00000,0.00000,1.21184,1.21184
07/09/2019,1405172.13095,0.00001,0.00000,0.00000,2.78192,2.78192
07/08/2019,1367139.45009,0.00004,0.00000,0.00000,-0.04996,-0.04996
07/05/2019,1367452.79747,0.00000,369.99894,0.00000,-0.30833,-0.30833
07/03/2019,1371683.22142,0.00000,369.99894,0.00000,0.19569,0.19569
07/02/2019,1369003.48108,0.00000,369.99894,0.00000,0.01187,0.01187
07/01/2019,1368841.00880,0.00000,369.99894,0.00000,1.57482,1.57482
06/28/2019,1347612.74028,0.00000,369.99894,0.00000,0.49098,0.49098
06/27/2019,1341026.69805,0.00000,369.99894,0.00000,1.29078,1.29078
06/26/2019,1324302.89710,0.00000,0.00000,0.00000,2.57578,2.57578
06/25/2019,1291048.38010,0.00000,0.00000,0.00000,-1.05494,-1.05494
06/24/2019,1304813.37492,0.00000,0.00000,0.00000,-0.64033,-0.64033
06/21/2019,1313222.27336,-0.00049,0.00000,0.00000,-1.18043,-1.18043
06/20/2019,1328865.50544,0.00000,43.61412,0.00000,0.57115,0.57115
06/19/2019,1321318.52980,0.00000,43.61412,0.00000,0.13915,0.13915
06/18/2019,1319482.38268,0.00000,43.61412,0.00000,2.66874,2.66874
06/17/2019,1285183.08250,0.00000,43.61412,0.00000,0.06209,0.06209
06/14/2019,1284429.24617,0.00000,0.00000,0.00000,-1.34070,-1.34070
06/13/2019,1301883.65237,0.00000,0.00000,0.00000,-0.18299,-0.18299
06/12/2019,1304270.39108,0.00000,0.00000,0.00000,-1.33419,-1.33419
06/11/2019,1321907.12936,0.00000,0.00000,0.00000,-0.16043,-0.16043
06/10/2019,1324031.24135,-0.00013,0.00000,0.00000,2.46355,2.46355
06/07/2019,1292197.29458,0.00000,0.00000,0.00000,1.92975,1.92975
06/06/2019,1267733.22779,0.00000,0.00000,0.00000,2.29803,2.29803
06/05/2019,1239254.72967,0.00000,0.00000,0.00000,-0.51127,-0.51127
06/04/2019,1245623.17229,0.00000,0.00000,0.00000,4.37723,4.37723
06/03/2019,1193385.89211,0.00000,0.00000,0.00000,-0.72970,-0.72970
05/31/2019,1202158.00935,0.00000,0.00000,0.00000,-2.11228,-2.11228
05/30/2019,1228098.92649,0.00000,0.00000,0.00000,0.36950,0.36950
05/29/2019,1223577.76527,0.00000,0.00000,0.00000,-1.05516,-1.05516
05/28/2019,1236626.14486,0.00000,0.00000,0.00000,2.12280,2.12280
05/24/2019,1210920.70947,0.00000,0.00000,0.00000,0.34635,0.34635
05/23/2019,1206741.17145,0.00000,0.00000,0.00000,-2.55302,-2.55302
05/22/2019,1238356.71353,0.00000,0.00000,0.00000,-0.66946,-0.66946
05/21/2019,1246702.93758,0.00000,0.00000,0.00000,1.61967,1.61967
05/20/2019,1226832.26745,0.00000,0.00000,0.00000,-2.37777,-2.37777
05/17/2019,1256713.98413,0.00000,0.00000,0.00000,-1.98122,-1.98122
05/16/2019,1282115.57529,0.00000,0.00000,0.00000,0.01259,0.01259
05/15/2019,1281954.22849,0.00000,0.00000,0.00000,0.83770,0.83770
05/14/2019,1271304.51191,0.00000,0.00000,0.00000,2.23628,2.23628
05/13/2019,1243496.39576,0.00000,0.00000,0.00000,-4.43555,-4.43555
05/10/2019,1301212.34919,0.00000,0.00000,0.00000,0.27313,0.27313
05/09/2019,1297668.08654,0.00000,0.00000,0.00000,-0.16740,-0.16740
05/08/2019,1299844.01304,0.00000,0.00000,0.00000,-0.10836,-0.10836
05/07/2019,1301254.10116,0.00000,0.00000,0.00000,-2.98580,-2.98580
05/06/2019,1341302.68245,0.00000,0.00000,0.00000,-1.71883,-1.71883
05/03/2019,1364760.57567,0.00000,0.00000,0.00000,1.28865,1.28865
05/02/2019,1347397.40569,0.00000,0.00000,0.00000,1.62001,1.62001
05/01/2019,1325917.34840,0.00000,0.00000,0.00000,-0.92948,-0.92948
