Client Name:  Marketocracy Capital Management, LLC
Folio Name:  rnmatar_NAM
Folio Number:  9A1553100P04
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1384337.55683,0.00000,0.00000,0.00000,0.36891,0.36891
08/29/2019,1379249.34290,0.00000,0.00000,0.00000,2.01913,2.01913
08/28/2019,1351951.62334,0.00000,0.00000,0.00000,1.06994,1.06994
08/27/2019,1337639.63396,0.00000,0.00000,0.00000,-0.88919,-0.88919
08/26/2019,1349640.49586,0.00000,0.00000,0.00000,1.08730,1.08730
08/23/2019,1335123.70918,0.00000,0.00000,0.00000,-3.14254,-3.14254
08/22/2019,1378441.80012,0.00000,0.00000,0.00000,-0.30779,-0.30779
08/21/2019,1382697.58398,0.00000,0.00000,0.00000,0.61351,0.61351
08/20/2019,1374266.30743,0.00000,0.00000,0.00000,-0.81400,-0.81400
08/19/2019,1385544.63994,0.00000,0.00000,0.00000,1.36897,1.36897
08/16/2019,1366833.16120,0.00000,0.00000,0.00000,2.46141,2.46141
08/15/2019,1333998.01534,0.00000,0.00000,0.00000,0.09786,0.09786
08/14/2019,1332693.89389,0.00000,0.00000,0.00000,-3.10856,-3.10856
08/13/2019,1375450.57647,0.00000,0.00000,0.00000,1.61416,1.61416
08/12/2019,1353601.24568,0.00000,0.00000,0.00000,-1.10893,-1.10893
08/09/2019,1368780.04258,0.00000,0.00000,0.00000,-1.02202,-1.02202
08/08/2019,1382913.75264,0.00000,0.00000,0.00000,3.47677,3.47677
08/07/2019,1336448.52320,0.00000,0.00000,0.00000,-0.07037,-0.07037
08/06/2019,1337389.58298,0.00000,0.00000,0.00000,1.39379,1.39379
08/05/2019,1319005.48006,0.00000,0.00000,0.00000,-3.63707,-3.63707
08/02/2019,1368789.24770,0.00000,0.00000,0.00000,-0.90422,-0.90422
08/01/2019,1381279.06206,0.00000,0.00000,0.00000,-1.63771,-1.63771
07/31/2019,1404277.07989,0.00000,0.00000,0.00000,-2.94572,-2.94572
07/30/2019,1446898.66994,0.00000,0.00000,0.00000,0.56189,0.56189
