Client Name:  Marketocracy Capital Management, LLC,,,,,
Folio Name:  FOLIOfn: apmitchell_APMIF,,,,,,
Folio Number:  9A1527700L01,,,,,,
Download Date:  10/16/2018,,,,,,
,,,,,,
Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/15/2018,190009.3131,0,0,0,-0.53391,-0.53391
10/12/2018,191029.242,0,0,0,2.46633,2.46633
10/11/2018,186431.2316,0,0,0,-0.86411,-0.86411
10/10/2018,188056.2478,0,0,0,-4.44658,-4.44658
10/9/2018,196807.4441,0,0,0,-0.42563,-0.42563
10/8/2018,197648.7016,0,0,0,-1.16917,-1.16917
10/5/2018,199986.8855,0,0,0,-0.83654,-0.83654
10/4/2018,201673.9685,0,0,0,-1.79081,-1.79081
10/3/2018,205351.4313,-0.00007,0,0,0.4412,0.4412
10/2/2018,204388.2745,0,61.13359,0,-1.13027,-1.13027
10/1/2018,206725.5316,0.00119,61.13359,0,-0.20355,-0.20355
9/28/2018,207142.5264,0,65.9142,0,-0.97599,-0.97599
9/27/2018,209136.9379,0.00034,113.7755,0,0.90678,0.90678
9/26/2018,207226.109,0,144.20878,0,-0.15427,-0.15427
9/25/2018,207546.5187,0,144.20878,0,0.63571,0.63571
9/24/2018,206234.5396,0,144.20878,0,0.4453,0.4453
9/21/2018,205319.614,-0.00008,144.20878,0,-1.02163,-1.02163
9/20/2018,207379.5748,0,204.98858,0,1.19909,1.19909
9/19/2018,204919.9407,0,204.98858,0,0.37573,0.37573
9/18/2018,204152.1151,0,204.98858,0,0.16386,0.16386
9/17/2018,203878.9438,0,143.85499,0,-1.43569,-1.43569
9/14/2018,206850.7449,0,143.85499,0,1.00344,1.00344
9/13/2018,204794.32,0,143.85499,0,-0.21499,-0.21499
9/12/2018,205266.303,0,113.42171,0,0.40479,0.40479
9/11/2018,204438.3046,0,113.42171,0,0.50636,0.50636
9/10/2018,203407.7511,-0.00025,113.42171,0,0.83363,0.83363
9/7/2018,201649.514,0,189.07111,0,-0.1799,-0.1799
9/6/2018,202018.0609,0,184.2905,0,-1.8266,-1.8266
9/5/2018,205888.8417,0.00061,75.6494,0,-1.54972,-1.54972
9/4/2018,209073.0969,-0.00016,133.4999,0,0.26561,0.26561
8/31/2018,208471.3324,0.00036,181.07183,0,-0.14421,-0.14421
8/30/2018,208772.6545,0,181.07183,0,-0.43855,-0.43855
8/29/2018,209693.0604,0,181.07183,0,0.59196,0.59196
8/28/2018,208457.9944,0,181.07183,0,-0.24977,-0.24977
8/27/2018,208980.4177,0,181.07183,0,2.33145,2.33145
8/24/2018,204215.033,-0.00006,181.07183,0,1.4499,1.4499
8/23/2018,201222.1795,0,252.7338,0,0.241,0.241
8/22/2018,200737.801,0,252.7338,0,0.26468,0.26468
8/21/2018,200207.2168,0,252.7338,0,0.97571,0.97571
8/20/2018,198270.2024,0,252.7338,0,0.65935,0.65935
8/17/2018,196969.8221,0,252.7338,0,0.2816,0.2816
8/16/2018,196473.8477,0.00097,194.8833,0,0.10881,0.10881
8/15/2018,196236.8456,0,218.11928,0,-1.576,-1.576
8/14/2018,199382.5444,-0.00012,218.11928,0,0.56298,0.56298
8/13/2018,198265.1253,0,218.11928,0,0.18988,0.18988
8/10/2018,197888.9675,0,218.11928,0,-0.71909,-0.71909
8/9/2018,199347.085,0,194.8833,0,-0.56294,-0.56294
8/8/2018,200552.4054,0,119.2339,0,-0.18059,-0.18059
8/7/2018,200934.592,0,100.09048,0,0.2166,0.2166
8/6/2018,200500.0983,0,100.09048,0,1.7088,1.7088
8/3/2018,197145.7004,0,84.22517,0,-0.48277,-0.48277
8/2/2018,198155.0026,0,31.70662,0,1.78703,1.78703
8/1/2018,194675.53,0,31.70662,0,0.27541,0.27541
7/31/2018,194140.7607,0,31.70662,0,-0.50533,-0.50533
7/30/2018,195126.9531,0,31.70662,0,-1.65806,-1.65806
7/27/2018,198417.3573,0,31.70662,0,-2.70163,-2.70163
7/26/2018,203927.585,0,31.70662,0,-1.68245,-1.68245
7/25/2018,207417.8252,0.00014,31.70662,0,2.0237,2.0237
7/24/2018,203267.9998,0,66.64191,0,-0.20484,-0.20484
7/23/2018,203685.3684,0,66.64191,0,0.42708,0.42708
7/20/2018,202818.8856,0,66.64191,0,-0.27354,-0.27354
7/19/2018,203407.0847,0,34.93529,0,-0.34385,-0.34385
7/18/2018,204109.0373,0,34.93529,0,-0.37683,-0.37683
7/17/2018,204881.2156,0,34.93529,0,0.74966,0.74966
7/16/2018,203356.478,0,34.93529,0,0.40618,0.40618
7/13/2018,202533.6907,0,34.93529,0,-0.49034,-0.49034
7/12/2018,203531.8636,0,34.93529,0,1.91362,1.91362
7/11/2018,199709.5231,0,34.93529,0,-0.93028,-0.93028
7/10/2018,201585.1566,0,34.93529,0,-0.35643,-0.35643
7/9/2018,202306.352,-0.00015,34.93529,0,0.58645,0.58645
7/6/2018,201123.2123,0,38.36321,0,2.0978,2.0978
7/5/2018,196989.9582,0.00024,38.36321,0,1.89513,1.89513
7/3/2018,193324.4707,0,39.35444,0,-1.6102,-1.6102
7/2/2018,196488.9709,0,39.35444,0,1.14161,1.14161
6/29/2018,194270.7075,-0.00007,39.35444,0,-0.9029,-0.9029
6/28/2018,196003.014,-0.00012,77.45076,0,1.36004,1.36004
6/27/2018,193341.8327,0,107.63937,0,-2.12665,-2.12665
6/26/2018,197545.2218,0,107.63937,0,0.81156,0.81156
6/25/2018,195954.0694,0,107.63937,0,-3.38442,-3.38442
6/22/2018,202822.06,-0.00015,107.63937,0,-0.07361,-0.07361
6/21/2018,202914.6454,0,164.53845,0,-1.42709,-1.42709
6/20/2018,205854.7292,0.00025,164.53845,0,0.48163,0.48163
6/19/2018,204867.2289,0,164.53845,0,-1.13487,-1.13487
6/18/2018,207256.7155,0,128.61193,0,1.04977,1.04977
6/15/2018,205102.2642,0,128.61193,0,-0.33385,-0.33385
6/14/2018,205789.7307,0,128.61193,0,1.43555,1.43555
6/13/2018,202905.6914,0,98.42332,0,0.03264,0.03264
