Client Name:  Marketocracy Capital Management, LLC,,,,,
Folio Name:  FOLIOfn: gordenlam_GDF,,,,,,
Folio Number:  9A1534000X01,,,,,,
Download Date:  10/16/2018,,,,,,
,,,,,,
Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/15/2018,1161500.084,0,0,0,-0.19625,-0.19625
10/12/2018,1163784.002,0,0,0,0.74098,0.74098
10/11/2018,1155224.066,-0.00027,0,0,-1.07557,-1.07557
10/10/2018,1167784.458,0,0,0,-2.33934,-2.33934
10/9/2018,1195757.306,0,0,0,-0.18893,-0.18893
10/8/2018,1198020.675,0,0,0,-0.30777,-0.30777
10/5/2018,1201719.197,0,0,0,-0.71022,-0.71022
10/4/2018,1210315.114,0,0,0,-0.82809,-0.82809
10/3/2018,1220421.29,0,0,0,0.09605,0.09605
10/2/2018,1219250.187,0,0,0,-0.27268,-0.27268
10/1/2018,1222583.971,0,0,0,0.45507,0.45507
9/28/2018,1217045.575,0.00006,0,0,0.3487,0.3487
9/27/2018,1212636.329,0,180.10954,0,0.22301,0.22301
9/26/2018,1209937.647,0,180.10954,0,0.1038,0.1038
9/25/2018,1208682.854,0,180.10954,0,-0.07122,-0.07122
9/24/2018,1209544.417,0,180.10954,0,-0.19771,-0.19771
9/21/2018,1211940.91,-0.00067,180.10954,0,0.15657,0.15657
9/20/2018,1210015.65,0,210.53605,0,0.57817,0.57817
9/19/2018,1203058.729,0,210.53605,0,0.41174,0.41174
9/18/2018,1198124.729,0.00033,210.53605,0,0.19775,0.19775
9/17/2018,1195684.103,0,286.16908,0,-0.57395,-0.57395
9/14/2018,1202588.056,0,286.16908,0,0.00243,0.00243
9/13/2018,1202558.817,0.0001,286.16908,0,0.33561,0.33561
9/12/2018,1198211.451,0,610.17905,0,0.19506,0.19506
9/11/2018,1195877.588,0,610.17905,0,0.19298,0.19298
9/10/2018,1193573.059,0.00025,610.17905,0,-0.00099,-0.00099
9/7/2018,1192914.925,0.00011,1280.07701,0,-0.19903,-0.19903
9/6/2018,1195056.525,0.00044,1520.00082,0,-0.21998,-0.21998
9/5/2018,1197635.277,0.00014,1579.22149,0,-0.60457,-0.60457
9/4/2018,1204929.476,-0.00006,1579.22149,0,-0.23479,-0.23479
8/31/2018,1207378.893,0,1969.28031,0,0.26498,0.26498
8/30/2018,1204258.459,0,1893.64728,0,-0.34769,-0.34769
8/29/2018,1208466.811,0,1893.64728,0,0.29747,0.29747
8/28/2018,1204977.945,0,1792.67993,0,-0.20119,-0.20119
8/27/2018,1207410.721,0,1792.67993,0,0.66936,0.66936
8/24/2018,1199370.659,0,1792.67993,0,0.60702,0.60702
8/23/2018,1192123.313,0,1792.67993,0,-0.19117,-0.19117
8/22/2018,1194410.148,0,1792.67993,0,0.06544,0.06544
8/21/2018,1193627.847,0,1792.67993,0,0.4376,0.4376
8/20/2018,1188419.516,381.22089,1792.67993,0,0.28749,0.28749
8/17/2018,1184557.153,0,1862.46739,0,0.26082,0.26082
8/16/2018,1181470.777,-0.00012,1862.46739,0,0.83714,0.83714
8/15/2018,1171595.458,0,1913.82004,0,-0.59319,-0.59319
8/14/2018,1179090.914,1449.97942,1421.0207,0,0.33592,0.33592
8/13/2018,1173691.119,0,1421.0207,0,-0.55439,-0.55439
8/10/2018,1180242.165,-381.22134,1421.0207,0,-0.2642,-0.2642
8/9/2018,1183805.469,0,1369.66805,0,-0.07828,-0.07828
8/8/2018,1186033.783,0,69.78746,0,0.00355,0.00355
8/7/2018,1185668.799,0,392.7009,0,0.17045,0.17045
8/6/2018,1183650.548,-1449.97948,392.7009,0,0.00816,0.00816
8/3/2018,1185003.893,0,392.7009,0,0.42999,0.42999
8/2/2018,1179928.62,-0.00011,392.7009,0,0.42605,0.42605
8/1/2018,1174684.292,0.00011,629.61139,0,-0.764,-0.764
7/31/2018,1182995.94,0,1366.50927,0,0.18174,0.18174
7/30/2018,1180847.366,0.00258,1366.50927,0,-0.38733,-0.38733
7/27/2018,1185004.116,-0.0024,1806.60324,0,-0.9735,-0.9735
7/26/2018,1196671.35,-0.00007,1806.60324,0,-0.21232,-0.21232
7/25/2018,1198955.027,0.00003,2073.00058,0,0.28127,0.28127
7/24/2018,1195129.324,0,2530.00712,0,0.12569,0.12569
