Client Name:  Marketocracy Capital Management, LLC,,,,,
Folio Name:  FOLIOfn: johnarcher_TAB,,,,,,
Folio Number:  9A1534100P01,,,,,,
Download Date:  10/17/2018,,,,,,
,,,,,,
Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/16/2018,1515220.351,0,0,0,2.30414,2.30414
10/15/2018,1481093.931,0,0,0,-1.02919,-1.02919
10/12/2018,1496495.717,0,0,0,2.20031,2.20031
10/11/2018,1464277.085,0,0,0,-0.7172,-0.7172
10/10/2018,1474854.707,0,0,0,-3.53142,-3.53142
10/9/2018,1528844.639,0,0,0,0.05085,0.05085
10/8/2018,1528067.683,0,0,0,-0.98411,-0.98411
10/5/2018,1543254.994,0,0,0,-0.73317,-0.73317
10/4/2018,1554653.207,0,0,0,-1.51739,-1.51739
10/3/2018,1578606.837,0,0,0,0.2674,0.2674
10/2/2018,1574396.886,0,0,0,-0.25232,-0.25232
10/1/2018,1578379.377,0,0,0,-0.03403,-0.03403
9/28/2018,1578916.755,0,0,0,-0.24935,-0.24935
9/27/2018,1582863.582,0,0,0,0.27531,0.27531
9/26/2018,1578517.701,0.00001,0,0,-0.17686,-0.17686
9/25/2018,1581087.197,0,227.21833,0,0.30888,0.30888
9/24/2018,1576217.801,0,227.21833,0,0.15027,0.15027
9/21/2018,1573852.374,0,227.21833,0,-0.39329,-0.39329
9/20/2018,1580294.726,0,0,0,0.89154,0.89154
9/19/2018,1566330.32,0,0,0,0.15094,0.15094
9/18/2018,1563969.672,0,0,0,0.5297,0.5297
9/17/2018,1555728.933,0,0,0,-1.06431,-1.06431
9/14/2018,1572464.829,0,0,0,0.17598,0.17598
9/13/2018,1569702.413,0,0,0,0.70588,0.70588
9/12/2018,1558699.841,0,0,0,-0.08001,-0.08001
9/11/2018,1559948.007,0,0,0,0.73745,0.73745
9/10/2018,1548528.368,-0.00038,0,0,-0.02533,-0.02533
9/7/2018,1548763.159,0,157.49609,0,-0.2469,-0.2469
9/6/2018,1552596.857,0,157.49609,0,-0.17083,-0.17083
9/5/2018,1555254.029,0,157.49609,0,-1.44661,-1.44661
9/4/2018,1578085.043,0.00022,157.49609,0,-0.31068,-0.31068
8/31/2018,1582940.816,0,220.336,0,0.10929,0.10929
8/30/2018,1581212.516,0,220.336,0,-0.21259,-0.21259
8/29/2018,1584581.677,0,220.336,0,0.72501,0.72501
8/28/2018,1573174.346,0.00011,220.336,0,-0.05357,-0.05357
8/27/2018,1573787.646,0,450.28404,0,0.86849,0.86849
8/24/2018,1560233.311,-0.00007,450.28404,0,0.84043,0.84043
8/23/2018,1547005.592,0,670.86928,0,-0.10807,-0.10807
8/22/2018,1548679.915,0,670.86928,0,0.28525,0.28525
8/21/2018,1544272.935,0,670.86928,0,0.15022,0.15022
8/20/2018,1541955.579,0,670.86928,0,0.25034,0.25034
8/17/2018,1538103.375,0,670.86928,0,0.19694,0.19694
8/16/2018,1535308.818,-0.00074,440.92124,0,0.29688,0.29688
8/15/2018,1530462.866,0,741.0162,0,-0.81412,-0.81412
8/14/2018,1543030.983,0,741.0162,0,0.40568,0.40568
8/13/2018,1536793.447,0,741.0162,0,-0.28662,-0.28662
8/10/2018,1541213.02,0,741.0162,0,-0.49879,-0.49879
8/9/2018,1549305.641,-0.00087,378.08133,0,-0.20664,-0.20664
8/8/2018,1552486.197,0,406.48279,0,-0.103,-0.103
8/7/2018,1554268.538,0,225.24152,0,0.20013,0.20013
8/6/2018,1551163.756,0,225.24152,0,0.62242,0.62242
8/3/2018,1541567.31,0,225.24152,0,0.2204,0.2204
8/2/2018,1538176.596,0,225.24152,0,0.71419,0.71419
8/1/2018,1527267.33,0,225.24152,0,0.73168,0.73168
7/31/2018,1516172.216,0,225.24152,0,0.12271,0.12271
7/30/2018,1514313.717,0,225.24152,0,-1.4575,-1.4575
7/27/2018,1536714.554,0,225.24152,0,-1.09335,-1.09335
7/26/2018,1553704.496,0,225.24152,0,-2.02033,-2.02033
7/25/2018,1585746.325,0,225.24152,0,1.09002,1.09002
7/24/2018,1568645.386,0,225.24152,0,0.85298,0.85298
7/23/2018,1555376.4,0,225.24152,0,0.43227,0.43227
7/20/2018,1548680.958,0,225.24152,0,-0.03368,-0.03368
7/19/2018,1549202.823,0,225.24152,0,-0.57652,-0.57652
7/18/2018,1558187.329,0,225.24152,0,0.44837,0.44837
7/17/2018,1551230.99,0,225.24152,0,0.59969,0.59969
7/16/2018,1541982.588,0,225.24152,0,-0.30327,-0.30327
7/13/2018,1546673.82,0,225.24152,0,-0.17519,-0.17519
7/12/2018,1549388.656,0,225.24152,0,1.39264,1.39264
7/11/2018,1528104.524,0,225.24152,0,-0.1115,-0.1115
7/10/2018,1529810.487,0,225.24152,0,-0.11301,-0.11301
7/9/2018,1531541.534,0,225.24152,0,0.67492,0.67492
7/6/2018,1521272.693,0,225.24152,0,0.93738,0.93738
7/5/2018,1507368.107,0,0,0,0.9184,0.9184
7/3/2018,1493650.479,0,0,0,-0.69581,-0.69581
7/2/2018,1504116.297,0,0,0,0.77036,0.77036
6/29/2018,1492617.737,0,0,0,-0.17887,-0.17887
,,,,,,
