Client Name:  Marketocracy Capital Management, LLC,,,,,
Folio Name:  FOLIOfn: orangey17_OMF,,,,,,
Folio Number:  9A1539500901,,,,,,
Download Date:  10/16/2018,,,,,,
,,,,,,
Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/15/2018,4435172.862,-0.00465,0,0,-0.95678,-0.95678
10/12/2018,4478017.811,0,0,0,2.41731,2.41731
10/11/2018,4372325.361,0,0,0,-0.49309,-0.49309
10/10/2018,4393991.879,0,0,0,-4.8317,-4.8317
10/9/2018,4617075.017,0,0,0,0.13474,0.13474
10/8/2018,4610862.201,0,0,0,-0.53761,-0.53761
10/5/2018,4635784.536,0,0,0,-1.13147,-1.13147
10/4/2018,4688837.412,0,0,0,-2.16163,-2.16163
10/3/2018,4792432.09,-0.00013,0,0,0.0462,0.0462
,,,,,,
